,职位名称,详细链接,工作地点,薪资,公司名称,经验要求,学历,福利,职位信息,,,,,,,,,,,,,,,,,,,,
87,数据分析师 (MJ001038),https://www.lagou.com/jobs/5744502.html,浦东新区,15k-25k,挖财网络技术有限公司,1-3年,不限,带薪年假，员工旅游，五险一金，扁平管理,岗位职责：1.分析各阶段收入成本比，制定案件流转策略和人员配比策略 ；2.计算并分析业务团队的产能、绩效，为产能调配、绩效方案制定提供数据支撑；3.定期开展数据统计和分析，监控运营，确保回款指标的达成 ；4.通过实施相应策略及方案，根据结果及业绩，不断优化政策 ；5.协助上级完成部门内部日常事务工作，完成上级交办的临时事务 ；6.其他相关分析报告的生成和PPT的制作；\xa07.完成上级领导交办的其他工作任务。任职条件：1.全日制本科2.2年以上数据分析工作经验，金融界相关工作经验优先；3.具备相关统计知识，逻辑能力强；\xa04.熟练掌握Office，Excel及常用函数使用，熟练运用SPSS，SAS等数据统计软件。,,,,,,,,,,,,,,,,,,,,
88,数据分析师（高级）,https://www.lagou.com/jobs/6144935.html,青浦区,17k-30k,申通快递有限公司,3-5年,本科,五险一金 周末双休 大平台,岗位职责：1、构建结算业务分析体系，基于体系监测业务发展态势，针对数据表现主动发现业务风险，定位并协助业务解决问题2、通过专项分析，输出专项分析报告，为业务发展提供策略和建议，并可以形成数据分析产品或数据化运营工具3、与相关团队协作进行数据建模工作，推动业务部门的数据化运营\xa0岗位要求：1、3-5年工作经验，本科以上学历，有统计学背景或有互联网相关的数据分析工作经验优先；2、精通SQL或其他可视化软件；3、具有至少用一种语言去查询数据的经验；4、具有从数据查询，聚合，分析到可视化的整套实践经验；,,,,,,,,,,,,,,,,,,,,
89,数据分析leader,https://www.lagou.com/jobs/5214023.html,浦东新区,35k-65k,上海腾聘企业管理咨询有限公司,5-10年,本科,发展空间,薪资给力,期权,岗位职责：1．\xa0协同业务方开展数据需求沟通，规划数据分析体系，设计核心数据链路，梳理指标框架与统计口径；2．\xa0独立承担基础数据清洗与处理、报表开发、数据探索、专题分析等方面的业务决策支持工作；3．\xa0对互联网项目的日常运营数据开展监控和分析，并深度植入业务发展，组织数据分析复盘会；4．\xa0负责数据分析建模，并协同工程技术团队开展数据产品设计与建设工作；岗位要求：1．\xa0本科或硕士以上学历，计算机、统计、数学相关专业；2．\xa05年以上数据分析领域工作经验，在互联网行业拥有电商，社交，内容，广告，游戏等领域工作经历优先；3．\xa0熟悉Hive与RMDB相关SQL脚本开发技术，熟练使用至少一种统计分析或数据挖掘工具：R，Python，SAS或SPSS；4．\xa0具备良好的数据分析能力，具有挑战精神，能应对对快速变化的业务环境；5．\xa0拥有较好的团队协作能力，出色的沟通能力和语言表达能力，思路清晰，具有自驱能力；,,,,,,,,,,,,,,,,,,
90,数据分析(上海）,https://www.lagou.com/jobs/6149371.html,浦东新区,15k-30k,达疆网络科技（上海）有限公司,3-5年,本科,带薪年假,1. 基于业务的支持和理解，搭建出可以准确反映业务运作状况的数据指标体系；\xa02. 商业嗅觉灵敏，善于沟通，能够深入了解业务、挖掘 各业务线的问题，通过利用数据来深入挖掘和验证结论，为业务决策、产品方向和运营策略提供决策支持。\xa03. 搭建完善的物流业务指标体系，检测预警业务发展动态，出现数据异常及时 诊断、验证、寻找归因和解决方法\xa04. 通过数据分析、数据挖掘，推动数据化运营任职需要：\xa01. 商业分析、数据科学、信息管理系统、计量经济等关专业本科及以上学历，2年以上相关工作经验\xa02. 熟悉 hive SQL，能够逻辑清晰的完成复杂逻辑的取数\xa03. 具备完成的数据分析思维，从数据清洗、探索、可视化到结论的输出\xa04. 具备良好的抗压能力、沟通能力和团队精神\xa05. 有互联网公司经验，物流行业相关的优先\xa06. 熟练使用EXCEL,,,,,,,,,,,,,,,,,,,,
91,数据分析工程师,https://www.lagou.com/jobs/5555143.html,青浦区,12k-20k,圆通速递有限公司,1-3年,本科,大平台，福利佳，上市公司,工作职责:1.熟练掌握存储过程、函数的编写；2.负责日常报表开发；3.精通SQL语句，对SQL查询优化有丰富的经验；4.搭建和部署ETL调度工具、搭建和部署相关报表；5.负者Greenplum函数开发，并持续维护优化；6.负责整理和归档所做开发的文档，负责优化已有报表。任职资格:1.本科或以上学历，计算机、数学或相关专业，2年以上开发维护经验；2.熟练使用Oracle、Greenplum数据库，具有函数、存储过程的实际设计开发经验；3.熟悉主流ETL开发工具，如：Informatica、Kettle；4.了解UNIX、LINUX、AIX操作系统；5.具有BI、Hadoop、greenplum、Oracle开发经验。,,,,,,,,,,,,,,,,,,,,
92,数据分析师,https://www.lagou.com/jobs/5249638.html,浦东新区,15k-22k,上海华钦信息科技股份有限公司,1-3年,硕士,待遇高,环境好,有前景,数据分析，2年以上经验，会R,\xa0SAS\xa0或Python\xa0等。英语口语熟练，海归优先,,,,,,,,,,,,,,,,,
95,数据分析专家,https://www.lagou.com/jobs/6173246.html,普陀区,16k-32k,拉扎斯网络科技（上海）有限公司,5-10年,本科,发展前景,岗位职责：1.负责频道数据监控、分析，通过数据分析定位业务问题，找出提升运营方法;2.定期对后台数据进行统计分析，包括流量分析、活跃用户量、转化、留存、复购、GMV等电商数据的分析，为店铺运营、CRM运营决策、产品方向、营销策略提供数据支持；3.挖掘平台数据应用场景，完善数据来源线上流程的闭环运作，分析并输出对应策略和建议，提出产品及运营优化方案;4.快速响应对接的运营业务方的数据需求，通过现有的数据系统和提数平台获取数据并输出分析报告任职要求：1.本科及以上学历，数学、统计学、计算机科学与技术等相关专业；2.5年或以上数据运营或数据分析从业经历，有互联网电商类公司数据业务、PMO管理或相关经验者优先；3.优秀的数据分析能力、敏锐的数据洞察力，对数据敏感，善于从数据中挖掘运营策略；4.责任心强，具备较强的沟通能力和团队协作能力；5.学习能力强，并能承受较大工作强度和压力,,,,,,,,,,,,,,,,,,,,
96,数据分析师,https://www.lagou.com/jobs/6102185.html,浦东新区,15k-25k,宏信金服（天津）信息科技有限公司,1-3年,本科,数据分析、业务策略分析,挑战与诱惑：1.直接接触一线数据，为业务团队提供数据分析与挖掘；2.深入产品与风控，全方位了解业务，成为公司核心策略驱动。岗位职责:1、通过数据分析为公司运营决策、产品方向、风控策略提供数据支持。2、制定数据监测体系，挖掘业务问题和痛点，针对业务问题进行深度诊断，给出行动建议，推动业务成长。3、实现指标监控与报表的自动化。4、与产品经理沟通验证数据准确性和数据迭代。任职资格:1.本科及以上学历，理工科专业（统计、数学、计算机专业）优先；2.熟练使用SQL、Excel、PPT等办公软件；3.有较强的逻辑分析能力和数据敏感度，具备良好的沟通能力、学习能力和团队协作精神，认真负责。主动思考和创新，能在快节奏的远东旗下新建互联网金融平台提升自我，创造价值。4.有python/R/SAS/Tableau应用经验者优先。5.有风控经验者优先,,,,,,,,,,,,,,,,,,,,
97,数据分析师,https://www.lagou.com/jobs/5870002.html,长宁区,15k-30k,携程计算机技术（上海）有限公司,3-5年,本科,五险一金 节假日福利 带薪年假 年终奖,1. 通过研究并分析数据，挖掘业务增长点，规划并设计改进方案，用数据驱动增长；2. 观察和分析航空业变化趋势，优化流程，设计营销方案，提升项目产量；3. 跨部门沟通和合作，推进方案落地。任职要求：1. 统计、计算机、数学等相关专业本科及以上学历；2. 热爱互联网，对数据应用抱有浓厚的兴趣，有强烈的上进心和求知欲，善于学习和运用新知识 ；3. 有3年以上数据分析经验，熟悉SQL，熟悉或使用过至少一种统计分析/数据挖掘软件（R, Python等）者优先；4. 有大数据处理经验，如Hive/Spark/Hadoop等使用经验者优先 。,,,,,,,,,,,,,,,,,,,
98,数据分析师,https://www.lagou.com/jobs/6073992.html,徐汇区,10k-20k,仟传网络科技（上海）有限公司,3-5年,本科,发展空间大，项目多，福利丰富,工作职责：1、负责广告项目监测数据的收集、整理、筛选，准时准确地完成报告；2、对舆情数据进行洞察分析，及时发现问题并提出合理性解决方案及建议；3、与客户及相关执行人员的协调沟通，保证监测活动数据的准确及有效达成；4、研究客户需求推动公司产品优化升级。\xa0岗位要求：1、本科及以上学历，统计学、心理学、经济学等专业优先；2、对数字敏感，踏实，重视细节，逻辑能力与学习能力强；3、2年及以上数据分析或研究相关工作经验；4、善于从数据中发现规律，有一定的总结概括能力，具备较强的沟通与表达能力；5、具有团队协作精神，协调能力强，能在压力下保证工作效率。,,,,,,,,,,,,,,,,,,,,
99,数据分析师,https://www.lagou.com/jobs/6321520.html,宝山区,12k-20k,上海好屋网信息技术有限公司,不限,本科,14薪,1、负责日常城市业务基础数据的统计分析，报表编制；2、及时响应业务相关部门数据统计分析需求，提供数据统计报表或分析报告，并跟进业务现状分析业务数据，为业务运营决策提供数据支持；3、收集业务部门的数据需求，归纳提炼出数据统计需求，提出数据需求方案进行产品化，并对接产品部门定期提出产品功能优化建议，并实现优化。任职资格：1、本科及以上学历，数学、计算机或统计等专业优先，有电商公司数据分析经验优先；2、熟练使用办公软件（Excel，Powerpoint）以及专业数据分析软件；3、具备很好的逻辑思维能力和文档编写能力，能发现事情的本质，做事认真严谨，对数据敏感，具备较强分析加工能力；工作主动性强，有责任心，良好的团队合作精神，积极上进，并具备良好的学习能力。,,,,,,,,,,,,,,,,,,,,
100,数据分析师,https://www.lagou.com/jobs/4341361.html,徐汇区,10k-20k,哈步数据科技（上海）有限公司,1-3年,本科,发展空间大,弹性工作,福利好,管理扁平,岗位职责：1．和大客户经理一同收集零售商和品牌商的需求，并进行归纳整理；2．依照公司的整体产品开发战略路径，同软件产品开发团队共同制定和管理产品算法研发计划\xa0；3．负责严格执行产品算法及分析的研发计划；4．参与及协助公司的市场推广及新业务的开发\xa0；5．参与及协助招募及建立数据科学团队\xa0；6．负责定制化的数据分析咨询项目；岗位要求： \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0\xa01．有2年以上海量数据处理的经验 （金融&零售数据优先）；2．有3年以上数据分析或数据建模的实战经验，熟练使用mysql, R，SAS,SPSS等工具\xa0；3．有与开发团队协作进行产品开发的经验\xa0；4．拥有团队协作精神并善于沟通和表达；5．很强的自我驱动力、结果导向并极具责任感；6．有激情、毅力，正能量；7．有良好沟通能力和团队协作精神；8．有零售，消费，电商类数据分析经验者优先；工作地点：北京,,,,,,,,,,,,,,,
101,数据分析师,https://www.lagou.com/jobs/6243924.html,徐汇区,15k-20k,上海一条网络科技有限公司,1-3年,本科,晋升空间大 新零售,岗位职责:1. 收集产品运营数据需求，提供有价值的数据支持和分析见解，对异常情况进行深入分析和定位，并提出优化方案；2. 参与数据埋点方案规划设计、埋点准确性验收，跟进数据的埋点、采集、清洗和存储工作；3. 参与分析指标体系的建设，通过监控数据变化洞察业务动态，为决策提供支持；4、对用户行为和业务数据进行分析和挖掘，输出报告，为公司产品和业务运营提供改进建议；5、参与整体数据可视化的方案规划设计，建设，分析并维护DashBoard。任职要求:1. 全日制计算机、数学、统计、金融等相关专业本科以上学历，2年以上数据分析相关工作经验，熟悉数据分析相关工具和方法；2. 对数据敏感,具备良好的逻辑分析和信息整合能力，有电商运营分析、用户行为分析经验者优先；3. 熟练使用SQL，有使用python进行数据分析的经验，对常见数据可视化的报表工具有使用经验；4. 具备良好的学习能力，有较强的进取精神和团队合作精神。,,,,,,,,,,,,,,,,,,,
102,初中级数据分析,https://www.lagou.com/jobs/6184102.html,浦东新区,12k-22k,上海基分文化传播有限公司,1-3年,本科,上升空间大，弹性工作，技术驱动,岗位描述：1.基于对业务的支持和理解，搭建出可以准确反映业务运作状况的数据指标体系；2.商业嗅觉灵敏，善于沟通，能够深入了解业务、挖掘业务问题和痛点，通过数据分析为业务决策、产品方向、运营策略提供数据支持；3.沉淀分析思路与框架，提炼数据产品需求，与相关团队（如数据PD、技术开发等团队）协作并推动数据产品的落地，实现数据产品化。任职要求：1.数学、计算机、统计学等相关专业硕士以上学历，2年以上相关工作经历；2.熟悉hive sql，熟悉各种大数据技术平台，有丰富的数据分析、挖掘、清洗和建模的经验；3.具备良好的抗压能力、沟通能力和团队精神。,,,,,,,,,,,,,,,,,,,,
103,数据分析师,https://www.lagou.com/jobs/4951089.html,浦东新区,15k-25k,上海浦东发展银行股份有限公司信用卡中心,1-3年,本科,绩效工资,数据分析工程师岗位职责:1、收集业务部门的数据分析需求，设计数据分析、数据挖掘模型; 完成数据整理、分析与建模工作，及时提供业务方支持；2、应用机器学习等方法，从海量客户用卡数据中挖掘潜在的规律与关系。3、针对风控等业务场景及相关数据进行分析研究，有效洞察业务机会和瓶颈；岗位要求：计算机、应用数学、统计及相关专业硕士以上学历。熟悉常用的数据分析、机器学习的相关理论，有独立完成专题分析的经验，熟悉SQL、hadoop、spark、hive等大数据处理技术优先。有数据分析相关1年以上工作经验，有金融类工作经验者优先；有python/SAS编程经验者优先。有较强的责任心，良好的组织协调能力、优秀的团队合作能力、沟通能力、分析报告撰写能力，有强烈的学习能力和创新应用能力,,,,,,,,,,,,,,,,,,,,
104,数据分析师,https://www.lagou.com/jobs/5335113.html,杨浦区,11k-16k,杭州睿拓智能科技有限公司,1-3年,本科,AI 美国公司,职位描述：1.\xa0\xa0\xa0 处理具体业务模块的各类原始数据，快速获得高质量的数据结果；2.\xa0\xa0\xa0 根据业务需求，对相关数据完成不同维度的常规统计与可视化分析，为业务决策、产品策略等提供有价值的数据支持;3.\xa0\xa0\xa0 与业务、技术、研发等不同部门的同事一起协作，共同完成数字化解决方案中从设计到验证的所有工作；4.\xa0\xa0\xa0 深入理解各行各业大数据应用的新场景，如：金融、医疗、制造和新零售等，探索数据新价值，能够为客户提出有建设性的数据处理和分析建议；5.\xa0\xa0\xa0 根据客户要求，开展人工智能平台的安装及调试工作；6.\xa0\xa0\xa0 负责人工智能平台的售后技术支持工作，解答常见的技术问题。\xa0任职要求：1.\xa0\xa0\xa0 2年及以上的数据处理和分析经验，计算机、统计学、数学、信息技术、金融、经济管理等本科及以上学历；2.\xa0\xa0\xa0 熟练运用SQL/MySQL/Oracle语言进行数据存储、提取、清洗、拼接、异常值识别等数据处理工作；3.\xa0\xa0\xa0 掌握通用的开源分析软件和架构，如：Python、R等；4.\xa0\xa0\xa0 精通常规统计报表和数据可视化技术，会使用Tableau等常见BI工具；5.\xa0\xa0\xa0 英语阅读能力强，有一定的中文技术文档写作功底；6.\xa0\xa0\xa0 技术视野开阔，思维严谨，学习能力强，对新技术敏感喜欢钻研；7.\xa0\xa0\xa0 良好的沟通以及协调能力，注重团队合作；8.\xa0\xa0\xa0 能在压力下工作，以结果为导向，具备自我驱动能力和较强的工作责任心；9.\xa0\xa0\xa0 能适用一定频次的出差任务。10.\xa0 会用SAS编程进行数据处理；11.\xa0 有大规模数据处理经验，熟悉Hadoop、Spark等开源数据处理平台者优先；12.\xa0 具有非结构化数据（如：文本、图像、视频等）处理经验者优先；,,,,,,,,,,,,,,,,,,,,
105,数据分析师,https://www.lagou.com/jobs/5993734.html,浦东新区,20k-40k,上海基分文化传播有限公司,3-5年,本科,薪资待遇好，全年基本上15薪以上。,岗位职责:1.\xa0快速深入的了解产品和业务，对问题进行深入分析，帮助运营、产品和业务发现、分析和解决问题，并建立相关的分析模型；2.\xa0根据公司产品的快速迭代更新，根据产品整体数据表现，快速提炼出产品以及运营活动更新所产生效果。任职资格:1.\xa0本科及以上学历，信息、管理科学、统计、数学专业优先；2.\xa03年以上互联网行业经验，能熟练运用SQL，具有1年以上tableau报表开发经验（熟练使用Python等更佳），可以独立且高效地完成数据的提取；3.\xa0逻辑思维清晰，有良好的数据敏感度和商业sense，能从数据角度提取出核心的商业结论及运营策略；4.\xa0有良好的沟通理解能力和跨团队协作能力及精神，可以从数据角度驱动业务发展。,,,,,,,,,,,,,,,,,,,,
106,数据分析师,https://www.lagou.com/jobs/4524170.html,浦东新区,13k-20k,银川仁辉信息科技有限公司,3-5年,本科,上市背景,发展潜力大,薪酬福利佳,领导好,职位描述：1. 参与风险方面基于客户信息、征信信息、行为信息的数据分析研究，协助提升风控系统风险识别准确性；2. 负责日常系统运营数据（日报、周报等）的分析及监测，能够及时发现异常及问题，并预警；3. 深入了解业务逻辑，与风控团队积极沟通，从整体角度建立数据支持方案，为相关团队日常运营及决策提供有效的数据支持；4. 负责平台活动等数据分析报告的规划与输出；5. 积极主动地理解业务、运营团队目标，通过应用分析方法和工具的灵活使用，高效实现相应业务的风险管理等分析需求，提供优化现有风险策略和流程的建议方案；6. 完成领导交办的其他相关数据分析工作。任职要求：1. 计算机、统计学、数学等相关专业本科以上学历；2. 三年及以上互联网、金融等行业的数据、风险等分析相关工作经验；3. 熟悉MySQL/Oracle等主流数据库，精通SQL；4. 具有丰富的数据分析、建模实践经验了解NOSQL数据库；5. 熟悉Python、R、EXCEL、SPSS等分析统计工具，熟悉数据挖掘、机器学习等常用算法更佳；6. 具有良好的逻辑分析能力、沟通能力和文字表达能力，良好的执行力；7. 乐于面对挑战，能够积极创新，优秀的团队合作精神；诚实，勤奋，严谨。福利：\n 12薪+年终奖\xa0五险一金\n 一年至少一次涨薪机会\n 饭贴车贴 25元/天\n 加班可申请调休\n 加班至9点饭贴另加20元/天\n 加班至10点打车全额报销\n 80元/人/月，团建基金\n 入职健康体检\n 集体生日会，生日的同学享有神秘个性化小礼物一份\n 带薪年假 每月0.5天年假，一年6天,,,,,,,,,,,,,,,,,
107,数据分析师,https://www.lagou.com/jobs/6112559.html,杨浦区,20k-35k,上海流利说信息技术有限公司,3-5年,不限,美股上市 人工智能 不打卡 硅谷文化,职位描述：支持业务: 移动产品的增长链路, 可能是: 获客, 功能体验, 转化, 运营.工作内容: 设计与开发指标和看板, 分析产品功能与用户行为. 输出分析报告和数据解决方案, 支持决策.职位要求:1. 专业: 统计, 数学, 计算机, 其他理工科专业.2. 经验: 行为打点, 交易分析, 用户画像, 数仓中间表.3. 知识: (可选) 数理统计知识, 基础的机器学习理论.4. 工具: Presto, Hive 等查询语言. R 和 Python 数据科学工具链.加分项:1. 有 Git, Shell 使用经验和良好的文档管理习惯.2. 熟悉 Rstudio, Jupyterlab. 有动手能力.,,,,
108,数据分析与建模岗,https://www.lagou.com/jobs/6301594.html,浦东新区,33k-38k,招商银行股份有限公司信用卡中心,3-5年,本科,职位晋升 福利待遇好 工作氛围好,岗位职责：1.根据企业经营策略和部门整体规划，设计数据分析逻辑、实施专项业务分析并产出分析报告，为业务发展、产品优化、服务流程改善等数据化解决方案。2.根据实际业务场景，基于海量客户数据开发并建立合适的数据模型，支持业务策略制定，推动业务创新，推进服务运营的智能化、数据化发展。3.将模型应用于相关业务流程和政策中，并监控模型运行效果，对模型和策略做出诊断和调优。岗位要求：1.全日制本科及以上学历，3年及以上数据分析和建模经验；2.具备商业敏锐度和数据敏感度，能够深入理解业务数据。同时有较强的沟通协调能力，善于合作。3.熟悉并掌握SAS/SQL/R/Python工具，具备丰富的数据分析、建模和应用转化经验。4.有一定指标体系搭建和数据平台搭建经验者更优。,,,,,,,,,,,,,,,,,,,,
109,高级数据分析师 (MJ001016),https://www.lagou.com/jobs/5529012.html,浦东新区,15k-30k,挖财网络技术有限公司,不限,本科,公司平台,晋升空间,弹性工作,节假日福利,岗位职责：1、数据提炼、分析、归纳用户属性、行为等信息，完成分析结果；2、处理用户海量数据，挖掘用户行为特征，为产品、运营提供参考依据；3、针对具体业务问题，研究影响用户的潜在因素，进行数据分析验证并提出改善举措；4、参与各业务部门的重点项目，负责从数据的角度给出决策建议；5、能实现业务所需的数据分析的应用系统开发。任职条件：1、\xa0本科及以上学历，计算机、统计、经济、数理、信息等相关专业，2年以上相关工作经验，有互联网或金融行业数据分析经验者优先；2、\xa0熟练掌握SQL、EXCEL、PPT、R等常用分析工具及相关编程语言；3、\xa0熟悉多种数据源深度诊断性组合分析、挖掘和建模、数理统计、数据分析、数据挖掘以及常用算法；4、\xa0精通数理统计，掌握常用数据挖掘方法，例如：线性回归，逻辑回归，决策树分群，聚类、关联分析、SVM，贝叶斯等；5、\xa0熟悉Hadoop、Hive、Spark或其它开源数据挖掘（Clementine、SPSS/SAS）或机器学习等项目，能够解决数据分析过程中遇到的问题；6、\xa0对商业和业务逻辑敏感，具备良好的逻辑分析能力和系统性思维能力，优秀的数据思维和强烈的数据决策意识，且思维缜密，做事认真严谨；7、\xa0有较强的人际沟通、协调能力，具备与相关人员沟通数据需求的能力；8、\xa0银行、信贷、电商、互联网行业数据挖掘分析经验或商业分析应用者优先。,,,,,,,,,,,,,,,,,
110,数据分析师（小回音APP）,https://www.lagou.com/jobs/5864484.html,虹口区,10k-20k,虎扑（上海）文化传播股份有限公司,3-5年,本科,弹性工作,节日福利,五险一金,免费晚餐,工作职责:\xa01、应用数据统计，数据挖掘的专业知识和技能，获取数据并对数据做出可以影响实际决策的解读，通过数据理解用户在用户产品中的行为；2、同项目团队一起去解决实际的问题，获取并了解项?的发展趋势和在整个产品中的定位；3、?持，影响和参与到产品的决策和产品的迭代当中；4、数据分析师会实际参与到如下的工作领域中；5、产品分析项目：\xa0 \xa0 \xa0□ 参与设定评估团队核心指标并对核心指标做出未来发展的预测；\xa0 \xa0 \xa0\xa0□ 监测产品核心指标，能找到核心指标变化的本质原因；\xa0 \xa0 \xa0\xa0□ 建设，分析并维护DashBoard和给出数据报告；\xa06、探索性分析：\xa0 \xa0 \xa0\xa0□ 对于产品和项目的下一阶段目标和roadmap给出基于数据的建议；\xa0 \xa0 \xa0\xa0□ 建设核心数据，进行探索性分析，并给出策略建议；\xa0 \xa0 \xa0\xa0□ 能对领域内的产品生态，用户行为和长期趋势给出自己的见解；\xa0 \xa0 \xa0\xa0□ 不断尝试找到提升核心数据指标的新的抓手；\xa0 \xa0 \xa0\xa0□ 建立用户行为分析模型去辅助产品；\xa0任职资格:\xa01、重点本科及以上学历，计算机，数学，统计学或者相关的专业；2、3年左右数据分析工作经验，对于SQL有实际的操作经验；3、对统计学有深?理解 (e.g., hypothesis testing, regressions)；4、附加要求： 拥有计算机，数学，统计学或者相关专业的本科以上学历；,,,,,,,,,,,,,,,
111,数据分析师,https://www.lagou.com/jobs/6251341.html,虹口区,20k-30k,上海识装信息科技有限公司,不限,不限,一年多薪/扁平管理/氛围好/发展空间大,职责描述：1.对海量业务数据进行处理和分析，发现和跟踪其中的问题。能够从业务和产品的角度出发，利用数据发现产品、系统或是业务的瓶颈，并提出优化的方案2.分析海量用户行为数据，优化用户生命周期流程，提升用户规模3.利用数据挖掘，机器学习等技术解决实际问题，比如实现模块或流程自动化，业务报表系统的建设，离线数据流程的建设，数据可视化等4.建立各种业务逻辑模型和数学模型，帮助公司改善运营管理，节省成本任职要求：1.计算机、数学、统计相关专业，本科及以上学历，2年以上相关经验，名校背景或500强背景优先2.熟练掌握：mysql、hdfshive数据库使用，较强的数据库及 SQL 能力，并对 Hadoop 技术体系有所了解和研究3.具备数据敏感性和探知欲、分析、解决问题的能力，能够承受工作中的压力，专注数据的价值发现和变现转化4.工作认真、负责、仔细，有良好的团队合作精神，良好的分析问题能力、沟通技巧及数据呈现能力,,,,,,,,,,,,,,,,,,,,
112,资深数据分析,https://www.lagou.com/jobs/6291931.html,浦东新区,25k-35k,上海数禾信息科技有限公司,5-10年,本科,补充公积金 大牛多 弹性不打卡,岗位职责1、负责获客工作计划制定、目标分解与考核方案实施；2、跟踪各获客小组目标完成进度，及时发现问题并协调解决，做好异常监测及通报；3、构建全面、准确、能反映业务特征的监控指标体系与报表系统，完善数据化管理体系；\xa05、挖掘数据分析需求，制定并实施分析方案，为部门资源统筹和目标设定提供数据支持;4、针对特定业务问题做专题研究，并撰写各类报告材料，提供决策依据和前瞻性建议；6、负责获客部门数据分析师的统筹管理，优化团队的数据分析能力和流程。\xa0任职要求：1、本科以上学历，计算机、统计、数学等专业优先；2、5年以上互联网/商业咨询行业数据分析经验，对互联网流量市场有开阔且深度的认知；3、具有较强的业务敏感度和逻辑思维能力，善于提炼洞察和解决问题；4、熟练使用SQL、tableau，精通数据可视化，有R或Python经验优先。5、有项目管理及沟通能力，条理性强，胜任跨部门项目合作。,,,,,,,,,,,,,,,,,,,,
113,数据分析师,https://www.lagou.com/jobs/3167494.html,杨浦区,8k-12k,上海脉豪商务信息咨询有限公司,3-5年,本科,行业先锋,数据驱动,项目奖金,活力年轻,我们需要您：1、数据监测与跟踪: 负责数据的监控和跟踪分析，对异常情况进行深入分析和定位，并提出优化方案2、数据决策支持：充分发挥对数据的敏感性，给产品、运营、市场、销售等决策提供有价值的数据支持和分析见解3、数据分析：根据各业务的实际业务要求，较深入的专项数据分析及用户研究4、数据模型：深入了解业务，建立基于业务场景的数据模型，解决各类业务问题对您的要求：1、全日制统招大学本科以上学历，统计学、数学、计算机、数理统计或数据挖掘专业优先2、互联网行业3年以上数据分析经验3、工作认真努力，具有团队合作精神，良好的跨部门沟通和组织能力4、思维敏捷，具备较强的数据分析能力和数据敏感性5、相关技术要求：-精通sql/hql语句，能够编写复杂的sql/hql逻辑-熟悉至少一种数据分析工具，如spss、excel、R等-熟悉hadoop生态圈并具有相关使用经验，具有相关项目经验者优先,,,,,,,,,,,,,,,,,
114,数据分析（上海）,https://www.lagou.com/jobs/6311241.html,黄浦区,10k-17k,贵阳高登世德金融科技有限公司,1-3年,本科,五险一金 扁平管理 专业培训 周末双休,工作职责：1.产品测算，包括但不限于资产池分析、压力测试、收益分配计算及指标分析等；2. 系统功能测试，数据维护更新；3. 对接客户，解决客户使用问题，分析需求并反馈至产品研发部门；4. 负责人安排的其他工作。\xa0岗位要求：1. 通过培训可以理解结构化金融产品运作模式，数学功底佳，逻辑清晰，态度认真，工作严谨，具有优秀的Excel使用技能；2. 具有批判性思考能力，能够跳出定势思维进行测试，熟练使用数据库软件及SQL语句；3. 较强的沟通能力、包容力，能够理解客户真实意图并顺利与开发部门协调，推动需求开发及功能上线，具有敏捷的反应速度和随机应变能力；4. 掌握Python者优先，有一定金融行业背景或知识者优先。,,,,,,,,,,,,,,,,,,,,
115,数据分析师,https://www.lagou.com/jobs/5848085.html,长宁区,18k-25k,上海西井信息科技有限公司,不限,硕士,发展平台,激发潜力,一线福利,团队有爱,岗位职责：1.定期追踪公司关键指标,并从业务层面解析开展情况,洞察业务动作，提出指导改进策略。2.基于对业务的深度理解,通过数据挖掘与分析,针对公司关键指标以及运营各业务线输出专项分析报告,及时发现问题,为运营决策、用户营销等提供决策支持和优化方向。\xa03.搭建数据分析体系，为公司制定和提升数据应用的价值4.根据具体业务需要，对业务策略、产品优化提供数据支持岗位要求：1.本科以上学历，统计、数学、计算机相关专业优先，具有5年以上数据分析经验，有互联网经验优先2.或者硕士以上学历，经验不限3.精通SQL、Excel等，熟悉Python；了解SAS、SPSS、R等优先4.工作严谨，责任心强，有较强的沟通技巧，善于从数据中发现、分析问题；思路清晰，逻辑性强，能独立分析问题和解决问题。,,,,,,,,,,,
