,职位名称,详细链接,工作地点,薪资,公司名称,经验要求,学历,福利,职位信息,,,,,,,,,,,,,,,,,,,,
13,数据分析师（数据中心）,https://www.lagou.com/jobs/5319175.html,普陀区,15k-25k,上海喔噻互联网科技有限公司,1-3年,本科,平台大，福利好，牛人多，晋升机会,从业务需求场景出发，协助产品部门完成业务数据模型的梳理和设计；通过数据可视化形成图表和报告，为业务和产品部门探索商业价值提供数据支撑；深入理解业务，发现业务特征和潜在机会，给出有效的行动建议；与产品部门、技术部门配合不断提升数据产品的易用性；任职资格：2年以上互联网/咨询行业数据分析经验，本科及以上学历，数学及计算机相关专业优先；具备优秀的数据分析能力、以及业务感觉，有丰富的数据驱动业务的实战经验；熟练使用统计分析工具，逻辑严谨，能够独立分析和解决问题；熟练使用SQL/Python者优先，了解Hadoop/Flink等主流大数据工具者原理的优先；善于沟通，逻辑思维能力较强，善于学习新知识；,,,,,,,,,,,,,,,,,,,,
14,数据分析师,https://www.lagou.com/jobs/6099865.html,徐汇区,15k-30k,上海噗呲网络科技有限公司,不限,大专,六险一金 氛围好 发展快 项目奖金,岗位职责：1、提供游戏运营部门常规的数据支持，关键常规数据出具数据报告；2、参与和协助新项目的数据埋点，以全面应对游戏上线后的各类分析需求和数据挖掘；3、深入游戏，根据游戏内的成长线、流失点、用户行为特征、用户价值等方向进行数据挖掘和专项分析，并建立统一化的数据模型；4、结合业务反馈以及市场需求，提出产品改进意见，不断完善数据系统和数据体系；\xa0任职要求：1、熟练使用SQL，精通EXCEL，熟悉hive，Python，SPSS，Tableau，2年以上互联网产品数据挖掘或分析经验，热爱数据分析工作；2、具备专业的数据处理和分析能力，有良好的数据敏感度和商业敏感性，善于运用图表有效表达分析观点；3、具备独立思考、分析问题的能力，针对运营问题建立相应的数据模型，对数据有较强的敏感度，能承受一定的工作压力；4、具备游戏数据产品设计、用户画像方面的数据建模经经验、热爱游戏、喜欢玩游戏者优先。,,,,,,,,,,,,,,,,,,,,
15,数据分析师 (MJ003207),https://www.lagou.com/jobs/5416597.html,闵行区,15k-25k,上海钧正网络科技有限公司,不限,不限,互联网公司 弹性工作 领导好,工作职责：1.理解现有硬件部门数据逻辑、业务逻辑，协助项目的需求调研，进行数据分析从而把需要解决的业务问题转化为统计学、机器学习/数据挖掘问题2.独立从数据获取、数据清理、统计分析和数据建模（机器学习模型）整个流程工作，独立负责具体某个分析任务的代码编写，数据提取，清洗3.负责数学建模、机器学习模型的构建，并且与工程师合作对模型进行维护、部署和评估；任职资格：1、以技术导向，统计学基础扎实；数据挖掘或算法实现类的技术开发经验；\u20282、专业：应用数学、金融数学、统计学；3.\xa0熟悉常用机器学习和数据挖掘算法，包括但不限于决策树、Kmeans、SVM、线性回归、逻辑回归以及神经网络等算法；4.必须精通SQL复杂查询、SQL代码调优、5.对Hadoop、Spark、flink等大规模数据存储与运算平台有实际使用经验；熟练使用Python/LinuxShell等脚本开发等；6.了解TensorFlow、Keras等一种或者多种深度学习框架；7.数学基础要好，如高数，统计学、线性代数基础知识扎实，了解常用的数据结构，具有运筹学背景者尤佳。,,,,,,,,,,,,,,,,,,,,
16,数据分析师,https://www.lagou.com/jobs/6098120.html,浦东新区,25k-40k,上海派拉软件股份有限公司,3-5年,硕士,年终奖高，晋升空间大，扁平化管理,岗位职责：1、负责维护统一身份认证安全产品现有数据分析模块，并对其进行优化；2、负责设计，开发并调优未来统一身份认证安全产品数据分析模块中的功能；3、负责撰写所有相关文档，包括设计文档，开发文档，测试辅助文档，产品白皮书相关部分；4、参与支持公司数据分析业务项目的售前和项目实施。任职要求：1、计算机或统计学相关专业，硕士及以上学历，优秀的英文读写能力；2、2年以上相关工作经验，有大数据分析项目经验的优先；3、精通机器学习，深度学习和统计分析，有数据分析项目经验；4、熟练掌握pyspark和python，有spark调优经验。掌握pytorch, tensorflow, keras的优先；4、掌握Java，Scala或者Node.js中的一门，深入理解面向对象编程，面向函数编程；6、深入理解微服务，有注册微服务经验。对微服务组件（Nginx，Zuul，Eureka）的调优有经验者优先。关于我们的文化：1、年终14-18薪+丰厚奖金+各种补贴+弹性工作+五险一金+法定假期+补充公积金+商业保险+员工体检2、员工集体旅游/团建+优秀员工个人/家庭出国游+优秀达人出游+各种有的没的你想到的想不到的福利3、每年1-2次调薪+代码大神专业技能手把手培训+优秀人才股权激励+宽广的晋升空间4、读书会+马拉松+达人旅行团是我们的日常传统，CEO带着你一起冲刺马拉松。。。5、生日会+周年庆+丰富多彩的部门团建。\xa0PS：1、对，我们不打卡！不打卡！！不打卡！！！2、有且不仅有以上福利，而且是真的真的真的有~~~3、加入我们，每天与码农大神面对面，我们的团队都是大神，真的真的真的，都是都是都是~~~【了解我们】1、官网：http://www.paraview.cn/2、公众号：派拉软件,,,,,,,,,,,,,,,,,,
17,数据分析师（中高级）,https://www.lagou.com/jobs/3290614.html,浦东新区,15k-25k,达疆网络科技（上海）有限公司,3-5年,本科,风口发展平台，与硅谷大牛共事，极客文化,工作职责：\xa01、负责O2O业务的数据分析工作，挖掘数据分析需求，制定并实施分析方案，并根据数据分析结果为业务的改进提出合理化建议；\xa02、通过专题分析，对业务问题进行深入分析，为产品改进、大区运营决策、营销推广策略提供数据支持，推动业务部门数据驱动业务决策的转化；3、通过对公司运营数据研究，提出改善运营质量的方法和建议，搭建BI数据分析体系，为公司决策提供支持。任职资格：\xa01、统计、数学、信息技术相关专业本科以上学历，互联网3年以上数据分析/挖掘相关经验；2、熟练独立编写商业数据分析报告，及时发现和分析其中隐含的变化和问题；\xa03、良好的数据敏感度，能从海量数据提炼核心结果；有丰富的数据分析、挖掘、清洗和建模的经验；\xa04、思维敏捷，具有发散性，能够举一反三，良好的逻辑分析能力及问题解决能力；5、良好的跨团队、部门沟通及推动能力，有强烈的主人翁意识，积极发扬团队合作精神。,,,,,,,,,,,,,,,,,,,,
18,数据分析师,https://www.lagou.com/jobs/6324105.html,徐汇区,15k-30k,上海只二网络科技有限公司,3-5年,大专,出国游 餐补房补 领导nice,工作职能：1、根据相关产品的运营状况及效果做出自己的分析，通过数据分析结果提出合理的改进优化建议；2、保持与业务部门工作沟通，推动与协助改善问题，提升运营效率；3、对公司内部及行业竞争对手等进行信息收集、数据整合、研究分析，支持业务部门定期及不定期的信息需求；4、基于业务场景和数据分析挖掘平台数据需求，提出解决方案并能迅速推进产品优化。5、能使用统计和商业分析的工具和方法解决实际问题。任职要求：1、两年及以上数据分析相关经验，有电商行业数据分析经验优先；2、对数据敏感，具备良好的数据分析能力，熟悉常用分析方法论，能从数据分析中挖掘用户需求和判断业务趋势；3、具备独立思考、分析问题的能力，针对运营问题建立相应的数据模型，对数据有较强的敏感度，能承受一定的工作压力；4、互联网行业数据挖掘分析经验或实际商务智能（BI）应用者优先。,,,,,,,,,,,,,,,,,,,,
19,数据分析师,https://www.lagou.com/jobs/6007934.html,闸北区,10k-20k,上海晶赞融宣科技有限公司,3-5年,硕士,弹性工作、绩效奖金、出国旅游、扁平化管理,工作职责：1、负责政务数据/商业数据的研究和分析。例如，通过政务公开数据的挖掘和分析，形成主题研究报告；\xa02、设计并规划相关数据分析项目的可行性数据框架，同时确保该设计方案的最终实施；3、通过数据管理平台，进行用户数据、行为数据、商品数据、消费数据等各类数据的分析，进一步挖掘用户属性、用户喜好、潜在需求、忠诚度、商业选址等相关数据，并形成相应的数据分析报告；\xa04、构建用户行为建模、业务数据分析模型、用户评估体系等，支持个性化项目；\xa05、了解客户相关需求，与多部门（业务部门和研发部等）密切沟通，负责相关数据的提取、查询、处理、分析等工作。任职资格：1、硕士及以上学历，计算机、经济、统计、数学、软件工程、信息管理等相关专业优先；\xa02、有较强的数据敏感度和逻辑分析能力，能梳理特定行业业务数据指标，构建业务数据分析体系优先；3、能独立设计撰写分析报告；4、会运用常规的统计学方法与分析算法（如分类、聚类、回归、关联规则、社会网络模型、抽样工具、定类分析、决策支持等）；\xa05、有责任心、良好的沟通能力及心理承受能力， 较高的团队合作能力和解决问题能力，可以快速处理临时的任务需求；6、满足以下任一条件者，可优先考虑：有数据分析或咨询行业相关经验、熟悉大数据相关技术、掌握某种统计编程语言R、Python等、或可熟练使用SPSS、SAS、MATLAB等相关数据分析软件；7、有新闻热点报告撰写者优先考虑。,,,,,,,,,,,,,,,,,,,,
20,数据分析师（风控）,https://www.lagou.com/jobs/6113274.html,静安区,20k-40k,上海欢兽实业有限公司,5-10年,本科,扁平化管理,平台大,奖金多,15薪,工作职责：1，建立基于覆盖全网卖家、买家、商品、资金、物流、交易行为的全链路大数据风险防控系统，全面监控平台整体的交易质量与风险，维护平台交易秩序与健康；2，通过舆情及日常监控数据的分析，持续提升平台交易质量算法模型的识别能力，包括对虚假交易行为识别覆盖能力和识别准确性提升，以及数据的可解释性；3，基于交易质量研究成果能够联系并推动平台相关业务线产品端不断完善，负责在项目推进过程中的跨部门协调沟通，从根源上优化解决作弊行为的动机；4，与规则、客服、运营、算法、法务、公关等同学积极配合，共同负责虚假交易业务流程与体系的不断优化；任职要求：1，本科或以上学历，计算机、统计学等理工科专业背景尤佳；2，有1年或以上电子商务领域工作经验，熟悉互联网分析思路和方法，SQL和Linux基本操作，有独立的数据探查能力；3，有网络安全或反作弊相关工作经验，了解反作弊产品/算法体系、效果评估方法尤佳；4，积极主动，以结果为导向，具有强烈的责任心、钻研精神和团队沟通能力。,,,,,,,,,,,,,,,,,
21,数据分析师,https://www.lagou.com/jobs/6037447.html,杨浦区,12k-20k,上海即果信息技术有限公司,1-3年,本科,出国outing 办公环境优秀 同事优秀,职位描述：\n 跟随产品迭代与运营策略，梳理业务数据逻辑\n 搭建业务指标监控体系，及时发现业务数据变化并定位原因\n 结合业务进度产出数据分析，帮助判断业务优化效果与改进方向\n 主动挖掘业务增长点，深度分析用户行为，驱动与指导业务优化方向\n职位要求：\n 1年以上互联网产品数据分析经验（实习也算），社交类产品分析经验者优先\n 有较强的团队沟通能力和业务流程管理能力\n 计算机或数据相关专业背景，掌握SQL，熟悉python/R等数据语言，熟悉常用分类聚类算法基本逻辑，了解数据采集\n加分项：\n 有数据产品经验或工具化、自动化思维\n 有增长经验\n 即刻用户,,,,,,,,,,,,,,,,,,,,
22,数据分析,https://www.lagou.com/jobs/5345259.html,浦东新区,10k-15k,上海海万信息科技股份有限公司,1-3年,本科,五险一金,节日礼金,年终奖,旅游体检,要求：\n 熟练使用SQL，能根据要求，熟练使用sql语句调用oracle或sql\xa0sever数据库中的数据，能熟练提取相关的数据。\xa0\n 掌握并熟练使用EXCEL（函数、数据透视表、各种类型的图，如柱状图、折线图等），会简单的VBA的编写（宏的录制）；\n 会使用SAS、SPSS的一些基本操作。\n地点：陆家嘴,,,,,,,,,,,,,,,,,
