Duration (ms), Start date, End date, Start station, End station, Bike number, Member type
390385, 2017/1/4 13:22, 2017/1/4 13:28, 15th & P St NW, 17th & K St NW / Farragut Square, W21037, Member
2321624, 2017/1/4 13:22, 2017/1/4 14:00, 2nd & G St NE, Jefferson Dr & 14th St SW, W22509, Casual
2301228, 2017/1/4 13:22, 2017/1/4 14:00, 2nd & G St NE, Jefferson Dr & 14th St SW, W00743, Casual
524736, 2017/1/4 13:22, 2017/1/4 13:31, Ohio Dr & West Basin Dr SW / MLK & FDR Memorials, 22nd St & Constitution Ave NW, W20149, Member
273508, 2017/1/4 13:22, 2017/1/4 13:27, Rhode Island & Connecticut Ave NW, 17th & Corcoran St NW, W21911, Member
467291, 2017/1/4 13:22, 2017/1/4 13:30, Lynn & 19th St North, C & O Canal & Wisconsin Ave NW, W21445, Member
1280285, 2017/1/4 13:22, 2017/1/4 13:44, Smithsonian-National Mall / Jefferson Dr & 12th St SW, Henry Bacon Dr & Lincoln Memorial Circle NW, W01323, Casual
445470, 2017/1/4 13:22, 2017/1/4 13:30, New Jersey Ave & L St NW, Eckington Pl & Q St NE, W00718, Member
1277469, 2017/1/4 13:23, 2017/1/4 13:44, 18th & C St NW, Lincoln Memorial, W01051, Casual
927054, 2017/1/4 13:23, 2017/1/4 13:38, "Independence Ave & LEnfant Plaza SW/DOE", 15th & P St NW, W21216, Member
1257408, 2017/1/4 13:23, 2017/1/4 13:44, 18th & C St NW, Lincoln Memorial, W00751, Casual
720432, 2017/1/4 13:23, 2017/1/4 13:35, 20th St & Florida Ave NW, 12th & L St NW, W01291, Member
588793, 2017/1/4 13:23, 2017/1/4 13:33, 5th St & Massachusetts Ave NW, 18th St & Pennsylvania Ave NW, W21131, Member
3099948, 2017/1/4 13:23, 2017/1/4 14:15, Metro Center / 12th & G St NW, New York Ave & 15th St NW, W22676, Casual
623352, 2017/1/4 13:23, 2017/1/4 13:33, Takoma Metro, Fenton St & Gist Ave, W21950, Member
252085, 2017/1/4 13:24, 2017/1/4 13:28, 14th & V St NW, 10th & Florida Ave NW, W21941, Member
361025, 2017/1/4 13:24, 2017/1/4 13:30, 8th & H St NW, Vermont Ave & I St NW, W22733, Member
