CountryName, Country Code, 1990.0, 2000.0, 2007.0, 2008.0, 2009.0, 2010.0, 2011.0, 2012.0, 2013.0, 2014.0, 2015.0, Change 1990-2015, Change 2007-2015
Afghanistan, AFG, 101.09492992088562, 103.25420233108582, 100.00037097870675, 100.2158856845112, 100.06048001795355, 99.45983890680668, 97.66791091499424, 95.31270706572562, 92.60278504286286, 89.77377698016771, 86.95446404554056, -14.140465875345058, -13.045906933166194
Albania, ALB, 61.80831092794021, 59.58586564113797, 50.86298722243529, 49.66378745639291, 48.637067064180314, , 46.72028802792998, 45.83573858002281, 45.247476793722875, 44.912168418690996, 44.806972786984666, -17.001338140955546, -6.056014435450621
Algeria, DZA, 87.67570539818638, 62.886169400131045, 49.487869883749106, 48.91000210589382, 48.64502633277251, 48.681853058863126, 49.23357573896814, 49.847712530054054, 50.60069691127289, 51.536631469296445, 52.61757884801745, -35.05812655016893, 3.129708964268346
American Samoa, ASM, , , , , , , , , , , , , 
Andorra, ADO, , , , , , , , , , , , , 
Algeria, DZA, 87.67570539818638, 62.886169400131045, 49.487869883749106, 48.91000210589382, 48.64502633277251, 48.681853058863126, 49.23357573896814, 49.847712530054054, 50.60069691127289, 51.536631469296445, 52.61757884801745, -35.05812655016893, 3.129708964268346
Angola, AGO, 101.39472179676305, 100.93047497001781, 102.56381097190766, 102.60918569128764, 102.42878799133743, 102.03569012951638, 102.10675628190114, 101.8369003982887, 101.31523446437672, 100.63766732349163, 99.85575099458731, -1.53897080217574, -2.708059977320346
Antigua and Barbuda, ATG, 60.61541654775186, 56.98198653539009, 53.56356556705908, 52.56055054070963, 51.464626077189045, 50.300659901100985, 49.27607403518873, 48.2259943418206, 47.22194954353588, 46.34853168469861, 45.6503807106599, -14.96503583709196, -7.913184856399177
Argentina, ARG, 65.74592462070696, 61.02130589520138, 58.05360604507279, 57.58879180857005, 57.19767395176291, 56.929087579624436, 56.737187512322805, 56.66254980740973, 56.65528298839195, 56.6303447020729, 56.54535970390741, -9.20056491679955, -1.508246341165382
Armenia, ARM, 56.230979059721506, 55.896643210273844, 48.08573967367899, 46.82264096563446, 45.789438760589135, 45.05936012264593, 43.66159959921683, 42.53044578525432, 41.75119713332285, 41.32933030442076, 41.262647209445376, -14.96833185027613, -6.823092464233611
Aruba, ABW, 47.500830683058815, 44.42077822990844, 43.47598055197244, 43.957839112462175, 44.5310607248215, 45.15723450157878, 44.993172507965404, 44.70668042227844, 44.35530246714448, 44.070251674814415, 43.95238953013067, -3.5484411529281488, 0.4764089781582257
Australia, AUS, 49.535548724775495, 49.689047260877366, 48.01052495284508, 47.912500162709875, 47.96929928828184, 48.155595812243455, 48.622268395162635, 49.090162002545554, 49.614262305256716, 50.231117793147284, 50.927364350068785, 1.3918156252932903, 2.916839397223704
Austria, AUT, 46.59883299091902, 47.41429561884238, 47.641838190485416, 47.78383606329126, 47.92921303570624, 48.09766642784718, 48.33480401722963, 48.549054809373295, 48.76464487981194, 48.978837220051226, 49.17973629183565, 2.5809033009166313, 1.5378981013502369
Azerbaijan, AZE, 62.21989080349728, 57.90272989734733, 44.23620765321053, 42.51898906070726, 41.14857459902636, 40.16982620292915, 39.201775235656825, 38.658365466697866, 38.349145558071434, 38.11915551437847, 38.01600761913478, -24.203883184362496, -6.220200034075745
Armenia, ARM, 56.230979059721506, 55.896643210273844, 48.08573967367899, 46.82264096563446, 45.789438760589135, 45.05936012264593, 43.66159959921683, 42.53044578525432, 41.75119713332285, 41.32933030442076, 41.262647209445376, -14.96833185027613, -6.823092464233611
Bahamas, The, BHS, 58.104507438383536, 53.03930131004366, 45.313780351630996, 44.329892638735345, 43.10665435051813, 41.81562357528023, 41.594912466310916, 41.25563770023556, 41.00281004750585, 40.99351447648353, 41.24625515541788, -16.85825228296566, -4.0675251962131185
Bahrain, BHR, 53.553017378838874, 49.5794266744426, 33.820172722828744, 31.282091708749654, 29.303111531758713, 27.79554237058021, 28.57315842583249, 29.329224001574943, 30.120311148524532, 30.8580482316441, 31.38151989033391, -22.171497488504965, -2.438652832494835
Bangladesh, BGD, 83.3335244802952, 69.19631519616526, 61.32581017191927, 60.31973114748461, 59.295646938249114, 58.26268284937173, 57.06060386589612, 55.9304577020618, 54.827015181003134, 53.68590411194475, 52.486748755946756, -30.84677572434844, -8.839061415972516
Barbados, BRB, 51.889769750850235, 50.30413083195936, 47.65066940416613, 47.53152098739161, 47.60281778234805, 47.89660790993927, 48.017913943441314, 48.40151363430342, 48.99397174154962, 49.69493674229418, 50.44357869551869, -1.4461910553315462, 2.792909291352558
Belarus, BLR, 50.49739173796054, 46.949293020415304, 42.09072553226434, 41.298549687839646, 40.71650708089549, 40.456381115439754, 40.668007465071334, 41.12160360903888, 41.72133178526808, 42.34585280212503, 42.957484236807204, -7.539907501153337, 0.8667587045428675
Belgium, BEL, 49.4956157914898, 52.62609212996442, 51.67363129823349, 51.43927057840049, 51.32401061518335, 51.418911237860385, 51.784957168666836, 52.28503932460724, 52.91062054997585, 53.593879555197496, 54.247803322218445, 4.752187530728648, 2.574172023984957
Belize, BLZ, 90.80522915712905, 80.66476733143399, 69.94692059731413, 68.29835420354226, 66.74545589750672, 65.31852225003728, 63.350949013770006, 61.59402205734141, 59.951390889741894, 58.34623973490851, 56.7809220430694, -34.024307114059646, -13.16599855424473
Benin, BEN, 97.33908522645218, 93.5671894014663, 88.82484594455283, 88.06984312082524, 87.1970045179774, 86.22322274454605, 85.61008977027328, 84.85309944364504, 83.9785746953692, 83.01346861232092, 81.98219189286701, -15.356893333585177, -6.842654051685827
