演员,类型,整理后剧名,上映时间,语言,评分,地区,导演,差评数,评分人数,播放量,好评数
孙耀威/黎姿/李铭顺/林湘萍/郑浩南,言情剧/武侠剧/剧情/粤语电视剧/超清1080P,陆小凤之凤舞9天,2001,国语,6.6,内地,徐惠康/罗廷,305,888,2580000,583
孙菲菲/刘琳/吴启华/何政军,剧情/都市,因爱之名,2008,国语,6,内地,高翊浚,35,88,241000,53
孙菲菲/郭晓东/储智博/贾雨岚/吴倩/郭旭/郭刚/金载沅/韩彩英/仁东镇/金青/辛顾,青春剧/言情剧/偶像剧/粤语电视剧/超清1080P,北京我的爱,2004,韩语,7.8,韩国,卫列,119,553,8280000,434
孙菲菲/金载沅/韩彩英/郭晓东/储智博/贾雨岚/吴倩/郭旭,青春剧/家庭剧/言情剧/偶像剧/粤语电视剧,北京我的爱,2005,国语,6.9,内地,卫列/李教旭,713,2331,2700000,1618
孙雪宁/刘雪涛/王燕阳,喜剧/都市/网络剧/粤语电视剧/超清1080P,百思不得姐,2015,国语,6.8,内地,许敌,5958,18670,25430000,12712
宁静/关礼杰/徐少强/蓝燕,商战剧/言情剧/历史剧/年代剧/粤语电视剧,大管家,2008,国语,5.8,内地,吴锦源,832,1965,6000000,1133
宁静/孙大川/丁梦雨/姚鲁,言情剧/剧情/悬疑剧/粤语电视剧/超清1080P,魂断楼兰,2004,国语,6.5,内地,王强,2265,6477,6850000,4212
宁静/耿乐/郑毓芝/牟凤彬/王小丹/周贤珍,剧情,中国传世经典名剧,2003,国语,7.3,内地,苏舟,32,120,261000,88
安以轩/于震/曹磊/杨清/安钧璨/杨壹童/周翔/苏营/杨安琪,言情剧/剧情/年代剧/谍战剧/粤语电视剧/超清1080P,边关烽火情,2015,国语,7.6,内地,曾晓欣,4519,18496,86620000,13977
安以轩/冯绍峰/李彩桦/何晟铭/米雪/伊能静/邓家佳/李菲儿/乔振宇/郑国霖/肖雨雨/张笛/赵丽颖/姜鸿/秦玮珑,言情剧/古装剧/年代剧/粤语电视剧/超清1080P,锁清秋,2009,国语,7.8,内地,吴锦源,6380,29484,50650000,23104
安以轩/贺军翔,青春剧/言情剧/偶像剧/粤语电视剧/超清1080P,真爱遇到他,2014,国语,8.3,内地,柯翰辰,5659,32477,21300000,26818
安在旭/董洁/刘孜,青春剧/言情剧/粤语电视剧/超清1080P,白领公寓,2002,国语,9.8,内地,胡雪杨,378,23150,23040000,22772
安娜·希尔克/Sarah Allen/克塞尼亚·索罗/佐伊·帕尔默,罪案剧/剧情/科幻剧/粤语电视剧/超清1080P,妖女迷行2,2011,英语,8.2,美剧,罗伯特·里伯曼,4051,21920,18310000,17869
安雯/奚美娟,家庭剧/言情剧/剧情/都市/粤语电视剧/超清1080P,蜜月独身,1995,国语,3.9,内地,彦小追,134,221,240000,87
宋丹丹/朱媛媛/朱泳腾/石凉/李乃文,青春剧/家庭剧/言情剧/剧情/都市/粤语电视剧/超清1080P,幸福请你等等我,2014,国语,7.9,内地,余淳,16252,76647,110000000,60395
宋丹丹/李明启/王琳/王洛勇/房子斌/李小萌,青春剧/家庭剧/言情剧/粤语电视剧,空房子,2004,国语,8.5,内地,陈国星,577,3968,7150000,3391
宋佳/朱茵/马书良/孙镱菲/郭涛/周杰/于小伟/刘德凯/张浩天/黄小蕾/何昊阳,青春剧/家庭剧/言情剧/粤语电视剧,大女当嫁,2010,国语,10,内地,孙皓,1,54583,39410000,54582
宋佳/郭凯敏/王琦/郑敏/李立/薛薇/朱宏嘉/叶新/尚铁龙/高曙光,家庭剧/言情剧/剧情/粤语电视剧,杜鹃的女儿,2010,国语,6.3,内地,刘二威,633,1728,2490000,1095
