演员, 类型, 整理后剧名, 上映时间, 语言, 评分, 地区, 导演, 差评数, 评分人数, 播放量, 好评数
乐珈彤/乐珈彤/李解/沈晓海/范冰冰/陈嫣嫣/杨昶/贾林/任泉/沈畅/刘亚津/刘亚津/廖学秋/赵亮/朱媛媛/朱媛媛/丁柳元/卢星宇/李耕/毛玲萍/王同辉/刘畅/黄小蕾/徐箭/张静初/冯雷/崔奕, 言情剧/古装剧/粤语电视剧, 爱情宝典, 2001.0, 国语, 9.0, 内地, 张多福/朱德承, 1501.0, 15257.0, 16180000.0, 13756.0
乔尔·麦克哈尔/切维·切斯/丹尼·朴迪, 喜剧/青春剧/都市/粤语电视剧/超清1080P, 废柴联盟5, 2014.0, 英语, 7.4, 美剧, 特斯塔姆·莎佩罗, 295.0, 1146.0, 1200000.0, 851.0
乔振宇/徐露/夏雨/梁小冰/任泉/尤勇, 喜剧/武侠剧/古装剧/剧情/粤语电视剧, 残剑震江湖, 2002.0, 国语, 6.4, 内地, 李惠民, 1590.0, 4464.0, 6660000.0, 2874.0
乔振宇/郑佩佩/曹曦文/郭明翔, 家庭剧/剧情/都市/粤语电视剧, 中国式相亲, 2008.0, 国语, 6.6, 内地, 谭铭, 1014.0, 2992.0, 5630000.0, 1978.0
于代君/李雅希/施宁/朱丹/方涛, 商战剧/家庭剧/剧情/都市/粤语电视剧, 别哭我的爱人, 2010.0, 国语, 5.8, 内地, 方涛, 81.0, 195.0, 1620000.0, 114.0
于卿/王雯倩/杨柳依/高澎, 青春剧/言情剧/剧情/网络剧/粤语电视剧/超清1080P, 致匆匆那些年, 2015.0, 国语, 9.0, 内地, 谷剑, 3351.0, 31947.0, 9660000.0, 28596.0
于和伟/于和伟/许晴/殷桃/王伯昭/鲍蕾/程希/孟霞/杜军, 商战剧/家庭剧/悬疑剧/粤语电视剧/超清1080P, 局中局, 2006.0, 国语, 6.6, 内地, 刘江, 1731.0, 5094.0, 6620000.0, 3363.0
于和伟/王丽坤/葛四/王志刚/孟召重/徐程, 军旅剧/年代剧/谍战剧/悬疑剧/粤语电视剧/超清1080P, 零下38度, 2013.0, 国语, 7.4, 内地, 姜凯阳, 3005.0, 11394.0, 23700000.0, 8389.0
于和伟/王丽坤/韩烨/宋春丽/周炜/王同辉/杨明娜/张大静/李心敏/刘禹/郭晓然, 都市/家庭剧/言情剧/粤语电视剧/超清1080P, 爱的多米诺, 2014.0, 国语, 8.4, 内地, 刘雪松, 6941.0, 43153.0, 43870000.0, 36212.0
于和伟/王媛可/潘虹/邵汶/午马/柴鸥/张立君/石天琦/刘欢/倪土/阎青妤/柳斌, 年代剧/谍战剧/粤语电视剧/超清1080P, 兵临城下, 2010.0, 国语, 8.4, 内地, 张汉杰, 2053.0, 12451.0, 58950000.0, 10398.0
于和伟/马伊俐/咏梅/甘婷婷, 青春剧/家庭剧/言情剧/粤语电视剧, 锁春记, 2008.0, 国语, 8.8, 内地, 黄文利, 540.0, 4360.0, 8450000.0, 3820.0
于娜/修庆/于荣光/米学东/萨日娜/王珂/刘冠麟, 罪案剧/悬疑剧/粤语电视剧/超清1080P, 第7座墓志铭, 2006.0, 国语, 6.3, 内地, 黄文利/李晓, 1880.0, 5071.0, 14140000.0, 3191.0
于晓光/大史可/李芯逸/何虑/赵岩松/边原, 青春剧/家庭剧/年代剧/粤语电视剧/超清1080P, 2叔, 2013.0, 国语, 7.2, 内地, 习辛, 23335.0, 83627.0, 209000000.0, 60292.0
于滨/刘佩琦/颜丹晨/李雯雯/薛皓文/徐成林/赵斌/徐雷智/魏冉, 军旅剧/历史剧/剧情/年代剧/谍战剧/粤语电视剧/超清1080P, 铁血刀锋, 2014.0, 国语, 7.1, 内地, 李强, 6464.0, 22254.0, 45200000.0, 15790.0
于荣光/刘金山/尹元章/马文璐/刘婧/刘婧/傅艺伟, 罪案剧/家庭剧/悬疑剧, 紧急链接, 2007.0, 国语, 6.0, 内地, 管虎, 271.0, 679.0, 980000.0, 408.0
于荣光/李欣凌/陈小艺/柳格格, 言情剧/古装剧/粤语电视剧, 大武生, 2007.0, 国语, 5.7, 内地, 郭宝昌, 397.0, 928.0, 4780000.0, 531.0
于荣光/潘虹/归亚蕾/吕中/于小彤/杨雨婷/高明/高亮, 喜剧/家庭剧/粤语电视剧/超清1080P, 劝和小组, 2013.0, 国语, 8.1, 内地, 于荣光, 515.0, 2756.0, 34910000.0, 2241.0
于荣光/王力可/许晚秋/唐国强/许凝, 剧情/年代剧/悬疑剧/粤语电视剧/超清1080P, 侦探成旭之千年迷局, 2008.0, 国语, 9.5, 内地, 刘逢声, 512.0, 9982.0, 15810000.0, 9470.0
于荣光/甘婷婷/午马/刘牧/于娜/修庆, 罪案剧/剧情/年代剧/悬疑剧/粤语电视剧, 侦探成旭之龙城岁月, 2007.0, 国语, 8.2, 内地, 黄文利, 126.0, 694.0, 1930000.0, 568.0
于荣光/秋瓷炫/朱晓渔/于晓光/宋运城/岳跃利/郭金/陈龙/高一玮/刘冠麟, 剧情/年代剧/谍战剧/粤语电视剧/超清1080P, 南侨机工英雄传, 2015.0, 国语, 7.9, 内地, 于荣光, 10918.0, 51500.0, 87410000.0, 40582.0
于荣光/童蕾/成泰霪王力可/高明/刘金山/杨光华/贺强/丁海峰/晋松/米学东/郭昊伦/孙玮, 军旅剧/言情剧/粤语电视剧/超清1080P, 狼毒花, 2006.0, 国语, 9.0, 内地, 于荣光/黄文利, 6131.0, 59413.0, 85890000.0, 53282.0
于荣光/高宝宝/倪虹洁/徐峥, 家庭剧/言情剧/都市/粤语电视剧, 爸爸叫红旗, 2002.0, 国语, 8.2, 内地, 朱传光, 69.0, 378.0, 576000.0, 309.0
于荣光/黄坤玄/罗海琼/艾伟/连奕名/史晓嵩/刘莉莉/王冰/王湖泉/苗强/金宠/张蓓蓓/王赤/汪媛媛/刘远/徐筠/刘乃艺/史蔚霞, 言情剧/武侠剧/古装剧/粤语电视剧/超清1080P, 金剑雕翎, 2003.0, 国语, 7.5, 内地, 王奕开, 3015.0, 12202.0, 58460000.0, 9187.0
于震/何琳/姜寒/庹宗华/王鑫/张岩/卢海华/孙玮/詹成霖, 军旅剧/剧情/谍战剧/粤语电视剧/超清1080P, 血刃, 2015.0, 国语, 6.7, 内地, 赵青, 8444.0, 25737.0, 98190000.0, 17293.0
于震/刘萌萌/杨烁/刘流/王小利/陈昊/杜奕衡/吴晓敏/林静/范雨林, 家庭剧/军旅剧/历史剧/剧情/谍战剧/粤语电视剧/超清1080P, 利箭行动, 2013.0, 国语, 8.2, 内地, 国建勇, 2249.0, 12251.0, 29130000.0, 10002.0
于震/施京明/李欣凌/刘牧/朱婷/刘冠军/叶静/孙敬涛/张博/傅子明/潘军/王亚梅/石天琦/刘东来, 军旅剧/谍战剧/粤语电视剧/超清1080P, 海狼行动, 2008.0, 国语, 8.0, 内地, 潘军, 5244.0, 26834.0, 87830000.0, 21590.0
于震/郝蕾/于洋/徐囡楠/邹涵虹/郭鹏/李晟/尹馨梓/钱波/邓钢/康晟闻, 家庭剧/年代剧/农村剧/粤语电视剧/超清1080P, 我的2哥2嫂, 2015.0, 国语, 7.0, 内地, 刘家成, 30888.0, 103834.0, 323000000.0, 72946.0
亓亮/罗珊珊/于娜/许还山/尚天瞳/刘栋/宋嵩/孟尧, 商战剧/家庭剧/言情剧/年代剧/粤语电视剧, 首富, 2007.0, 国语, 5.9, 内地, 杨润东, 852.0, 2075.0, 3060000.0, 1223.0
