,community_id,trade_time,days_on_market,total_price,unit_price,area_sqm,n_bed_room,n_living_room,n_kitchen,n_bathroom,building,building_type,construction_time,renovation_condition,building_structure,ladder_ratio,elevator,property_rights_for_five_years,subway,district,community_average
1938,1.11103E+12, 2016-08-15,158,9.75,42977,226.87,4,2,1,3, 中 15, 板塔结合,2009, 精装, 钢混,1,1,1,1, 朝阳,51255
55757,1.11103E+12, 2016-03-31,1,3.15,33904,92.91,2,2,1,1, 中 18, 板塔结合,2006, 简装, 钢混,0.5,1,1,0, 朝阳,46072
19825,1.11103E+12, 2016-07-29,14,6.15,73215,84,2,2,1,1, 高 26, 板塔结合,2007, 其他, 钢混,0.333,1,0,1, 朝阳,82517
12642,1.11103E+12, 2016-08-08,55,7.32,81569,89.74,2,1,1,1, 中 14, 板塔结合,2004, 精装, 钢混,0.25,1,1,1, 西城,89350
18317,1.11103E+12, 2016-08-11,34,2.8,46870,59.74,1,1,1,1, 中 33, 塔楼,2011, 精装, 钢混,0.3,1,0,1, 朝阳,56336
35804,1.11103E+12, 2016-09-16,2,4.88,51684,94.42,2,2,1,1, 中 25, 塔楼,2005, 精装, 钢混,0.3,1,0,1, 朝阳,51678
17389,1.11105E+12, 2016-08-09,37,16.8,76713,219,4,2,1,3, 低 9, 板楼,2013, 精装, 钢混,0.5,1,0,1, 朝阳,89873
44700,1.11103E+12, 2016-11-27,17,2.9,52375,55.37,1,1,1,1, 高 6, 板楼,2000, 精装, 混合,0.333,0,1,1, 朝阳,48667
6648,1.11103E+12, 2016-07-25,80,1.8,30000,60,2,1,1,1, 中 28, 塔楼,2005, 简装, 钢混,1,1,1,1, 丰台,48853
8605,1.11103E+12, 2016-08-15,85,2.7,73430,36.77,1,0,1,1, 低 26, 塔楼,2006, 精装, 钢混,0.111,1,1,1, 西城,92360
47934,1.11103E+12, 2016-12-24,7,5.88,71901,81.78,2,1,1,1, 中 14, 板塔结合,2001, 简装, 钢混,1,1,1,0, 丰台,61243
63718,1.11103E+12, 2016-03-26,1,6.3,46433,135.68,3,2,1,2, 低 25, 板塔结合,2010, 精装, 钢混,0.667,1,0,0, 石景山,57942
55824,1.11103E+12, 2016-04-10,1,2.85,31319,91,2,1,1,1, 高 28, 塔楼,2009, 精装, 钢混,0.333,1,1,0, 朝阳,46072
57482,1.11103E+12, 2016-03-06,1,3.23,50683,63.73,1,0,1,1, 高 23, 塔楼,2009, 精装, 钢混,0.304,1,1,1, 东城,78590
41003,1.11103E+12, 2016-10-28,18,5.5,62161,88.48,2,1,1,1, 低 6, 板楼,2000, 其他, 混合,0.5,0,0,1, 海淀,52911
25496,1.11103E+12, 2016-08-15,9,6.02,46113,130.55,3,1,1,2, 底 24, 塔楼,2004, 简装, 钢混,0.25,1,1,1, 朝阳,56631
26876,1.11103E+12, 2016-08-31,20,8.1,78741,102.87,2,2,1,1, 低 16, 塔楼,2001, 精装, 钢混,0.667,1,0,0, 东城,85711
52637,1.11103E+12, 2016-03-16,1,10.2,48837,208.86,3,2,1,2, 低 26, 板楼,2012, 简装, 钢混,1.5,1,0,1, 朝阳,77695
42487,1.11103E+12, 2016-11-04,14,7.45,83129,89.62,2,1,1,1, 高 10, 板塔结合,2003, 精装, 钢混,0.667,1,1,1, 东城,86517
52701,1.11103E+12, 2016-02-27,1,6.4,47951,133.47,2,2,1,2, 低 26, 塔楼,2004, 简装, 钢混,0.3,1,1,1, 朝阳,70921
27191,1.11103E+12, 2016-08-28,16,6,79250,75.71,2,1,1,1, 高 22, 塔楼,2004, 简装, 钢混,0.273,1,1,1, 东城,81362
45700,1.11103E+12, 2016-12-11,21,3.05,65747,46.39,1,1,1,1, 中 30, 塔楼,2005, 精装, 钢混,0.143,1,1,1, 丰台,61390
31232,1.11103E+12, 2016-09-15,18,6.98,51016,136.82,3,2,1,2, 高 22, 板塔结合,2004, 精装, 钢混,0.4,1,1,0, 朝阳,57483
14883,1.11103E+12, 2016-08-22,60,1.85,37186,49.75,1,1,1,1, 高 18, 塔楼,2002, 简装, 钢混,0.167,1,0,1, 朝阳,49260
3325,1.11103E+12, 2016-06-19,82,5,58873,84.93,2,2,1,1, 低 22, 塔楼,2009, 精装, 钢混,0.25,1,1,0, 朝阳,74614
21852,1.11103E+12, 2016-08-10,18,6.98,96290,72.49,2,1,1,1, 低 6, 板楼,2003, 简装, 钢混,0.333,0,1,1, 西城,128939
43094,1.11103E+12, 2016-12-26,61,6.78,76403,88.74,2,2,1,1, 低 26, 板楼,2009, 精装, 钢混,0.5,1,1,1, 朝阳,70894
19320,1.11103E+12, 2016-12-07,148,2.9,46032,63,1,1,1,1, 低 24, 塔楼,2003, 简装, 钢混,0.25,1,0,0, 石景山,49581
1316,1.11103E+12, 2016-07-29,153,3.55,31141,114,3,1,1,1, 底 6, 板楼,2001, 其他, 混合,0.25,0,1,1, 丰台,49293
57172,1.11103E+12, 2016-01-12,1,5.38,81220,66.24,2,1,1,1, 中 5, 板楼,2003, 精装, 混合,0.5,0,1,1, 东城,104629
47998,1.11103E+12, 2016-12-31,13,3.75,57684,65.01,1,2,1,1, 高 28, 板塔结合,2004, 简装, 钢混,0.4,1,1,1, 朝阳,54263
53476,1.11103E+12, 2016-02-03,1,2.75,39292,69.99,1,1,1,1, 低 25, 板塔结合,2006, 精装, 钢混,0.333,1,1,0, 朝阳,62851
25349,1.11103E+12, 2016-09-04,29,6.9,63566,108.55,2,1,1,1, 中 18, 板塔结合,2006, 精装, 钢混,0.5,1,1,0, 朝阳,70693
3552,1.11103E+12, 2016-06-20,81,2.12,45700,46.39,1,1,1,1, 低 30, 塔楼,2005, 精装, 钢混,0.143,1,1,1, 丰台,61390
62893,1.11103E+12, 2016-06-02,1,15.2,84874,179.09,3,2,1,2, 中 8, 板塔结合,2002, 精装, 钢混,0.5,1,1,1, 海淀,98181
61881,1.11103E+12, 2016-03-12,1,6.38,55239,115.5,3,2,1,2, 底 18, 板楼,2007, 精装, 钢混,0.667,1,1,1, 海淀,71309
19448,1.11103E+12, 2016-08-24,42,3.875,41321,93.78,2,2,1,1, 高 18, 板塔结合,2005, 精装, 钢混,0.333,1,0,0, 石景山,50041
37793,1.11103E+12, 2016-11-06,44,4.23,46185,91.59,2,1,1,1, 中 21, 塔楼,2010, 精装, 钢混,0.158,1,1,0, 海淀,77025
15222,1.11103E+12, 2016-08-18,55,13.28,118858,111.73,2,2,1,2, 低 19, 塔楼,2003, 精装, 钢混,0.25,1,0,1, 西城,152118
11080,1.11103E+12, 2016-09-06,92,5.25,60526,86.74,2,1,1,1, 高 15, 板楼,2008, 精装, 钢混,0.4,1,0,1, 朝阳,70693
35432,1.11103E+12, 2016-10-15,33,7.4,41462,178.48,3,2,1,3, 中 5, 板楼,2003, 简装, 混合,0.5,0,1,0, 朝阳,48809
41937,1.11103E+12, 2016-10-29,13,5.65,60558,93.3,2,1,1,1, 低 23, 塔楼,2004, 简装, 钢混,0.333,1,1,1, 丰台,64652
31763,1.11103E+12, 2016-10-27,58,3.61,64465,56,1,1,1,1, 中 19, 板塔结合,2010, 精装, 钢混,0.222,1,0,1, 海淀,60618
24055,1.11103E+12, 2016-08-13,12,4.17,41141,101.36,2,2,1,1, 中 10, 板楼,2007, 精装, 钢混,0.5,1,0,0, 朝阳,48906
33202,1.11103E+12, 2016-11-22,79,6.618,59687,110.88,3,1,1,2, 中 24, 塔楼,2002, 精装, 钢混,0.375,1,1,0, 丰台,50526
51317,1.11103E+12, 2016-02-25,1,2.9,30453,95.23,2,1,1,1, 高 15, 板楼,2008, 简装, 钢混,0.333,1,1,1, 朝阳,49781
16938,1.11103E+12, 2016-09-08,68,11.78,63597,185.23,4,2,1,2, 高 12, 板楼,2006, 精装, 钢混,0.5,1,1,1, 朝阳,70693
16002,1.11103E+12, 2016-09-27,91,6.688,52778,126.72,3,2,1,2, 中 25, 塔楼,2003, 精装, 钢混,0.375,1,0,1, 朝阳,52306
59549,1.11103E+12, 2016-03-14,1,4.65,37842,122.88,3,2,1,2, 高 22, 板塔结合,2005, 简装, 钢混,0.5,1,0,1, 丰台,52215
31198,1.11103E+12, 2016-09-22,25,7.4,45561,162.42,4,2,1,2, 中 11, 板塔结合,2002, 毛坯, 钢混,0.5,1,0,0, 丰台,51327
33398,1.11103E+12, 2016-09-11,6,2.7,32495,83.09,2,1,1,1, 高 20, 板塔结合,2007, 其他, 钢混,0.5,1,0,0, 朝阳,34875
62346,1.11104E+12, 2016-05-27,1,6.85,71392,95.95,2,1,1,1, 中 20, 塔楼,2011, 其他, 钢混,0.5,1,0,1, 海淀,88489
27381,1.11103E+12, 2016-08-23,10,5.55,53582,103.58,3,1,1,2, 中 18, 板塔结合,2007, 精装, 钢混,1,1,1,0, 海淀,66217
35240,1.11103E+12, 2016-12-14,93,14.02,98733,142,3,2,1,2, 中 6, 板楼,2002, 精装, 钢混,0.5,1,1,1, 朝阳,103884
17339,1.11103E+12, 2016-07-31,28,6.15,36540,168.31,3,2,1,2, 中 7, 板楼,2004, 精装, 混合,0.5,1,1,0, 朝阳,47736
43159,1.11103E+12, 2016-12-04,37,7.9,95365,82.84,2,1,1,1, 低 22, 板塔结合,2003, 精装, 钢混,0.4,1,1,1, 海淀,103097
54941,1.11103E+12, 2016-05-06,1,5.9,53715,109.84,2,1,1,1, 高 20, 板塔结合,2009, 精装, 钢混,0.5,1,1,1, 朝阳,74260
55558,1.11103E+12, 2016-04-09,1,6.56,42904,152.9,2,1,1,2, 中 18, 板塔结合,2002, 精装, 钢混,0.5,1,1,1, 朝阳,64444
10793,1.11103E+12, 2016-07-04,30,3.6,43616,82.54,2,1,1,1, 高 13, 板塔结合,2003, 精装, 钢混,0.125,1,1,1, 海淀,56523
29280,1.11103E+12, 2016-08-25,5,2.75,49257,55.83,1,1,1,1, 中 23, 板塔结合,2004, 精装, 钢混,0.286,1,1,1, 丰台,59327
25453,1.11103E+12, 2016-08-31,26,4.06,54992,73.83,2,2,1,1, 中 10, 板楼,2003, 精装, 钢混,0.25,1,1,1, 朝阳,60578
22323,1.11103E+12, 2016-07-31,6,1.44,41910,34.36,1,0,1,1, 中 26, 塔楼,2008, 其他, 钢混,0.2,1,0,0, 丰台,51970
25925,1.11103E+12, 2016-09-17,41,4.4,56066,78.48,1,1,1,1, 顶 9, 板楼,2008, 精装, 钢混,0.167,1,0,1, 朝阳,58955
31139,1.11103E+12, 2016-08-31,3,6.9,50736,136,3,2,1,1, 高 28, 板塔结合,2006, 精装, 钢混,0.333,1,0,1, 朝阳,61178
7609,1.11103E+12, 2016-07-05,51,2.4,40514,59.24,1,1,1,1, 中 20, 塔楼,2000, 其他, 钢混,0.2,1,1,1, 丰台,55753
40409,1.11103E+12, 2016-12-07,61,12,80537,149,3,1,1,2, 中 25, 板塔结合,2008, 简装, 钢混,0.667,1,0,1, 朝阳,79346
13347,1.11103E+12, 2016-06-30,14,3.8,34982,108.63,3,1,1,2, 低 22, 塔楼,2001, 简装, 钢混,0.25,1,1,0, 朝阳,59812
65916,1.11103E+12, 2016-03-05,1,6.05,64417,93.92,3,1,1,1, 中 28, 塔楼,2002, 其他, 钢混,0.231,1,1,1, 西城,80976
43420,1.11103E+12, 2016-11-07,9,2.04,42500,48,1,1,1,1, 中 23, 塔楼,2011, 精装, 钢混,0.192,1,0,1, 朝阳,44711
56273,1.11103E+12, 2016-05-02,1,2.89,48992,58.99,1,1,1,1, 中 18, 塔楼,2000, 精装, 钢混,0.2,1,0,1, 朝阳,62603
19190,1.11103E+12, 2016-07-31,19,7.25,64302,112.75,3,1,1,1, 中 14, 板楼,2005, 精装, 钢混,0.5,0,1,0, 西城,59848
37134,1.11103E+12, 2016-10-25,35,2.75,58017,47.4,1,1,1,1, 中 27, 塔楼,2002, 精装, 钢混,0.15,1,1,1, 海淀,67774
22916,1.11103E+12, 2016-08-31,35,8.15,65652,124.14,3,2,1,2, 中 26, 塔楼,2004, 精装, 钢混,0.333,1,0,1, 朝阳,78799
27088,1.11103E+12, 2016-09-18,37,6.3,67022,94,2,1,1,1, 高 14, 塔楼,2001, 精装, 混合,0.5,0,1,0, 朝阳,67384
28593,1.11103E+12, 2016-08-30,12,1.68,32111,52.32,1,0,1,1, 中 14, 塔楼,2008, 精装, 钢混,0.143,1,0,1, 朝阳,35630
3306,1.11103E+12, 2016-06-24,88,3.068,45963,66.75,1,1,1,1, 低 20, 板塔结合,2006, 简装, 钢混,0.333,1,1,1, 丰台,60602
45199,1.11103E+12, 2016-12-13,27,5.33,57318,92.99,2,1,1,1, 高 14, 板塔结合,2007, 精装, 钢混,0.333,1,1,0, 海淀,62382
30082,1.11103E+12, 2016-08-26,3,6.5,79991,81.26,2,1,1,1, 中 17, 板塔结合,2004, 简装, 钢混,0.5,1,1,1, 东城,87809
1439,1.11103E+12, 2016-07-23,143,2.45,37699,64.99,1,1,1,1, 中 15, 塔楼,2006, 简装, 钢混,0.25,1,1,1, 丰台,53205
8008,1.11103E+12, 2016-08-21,95,6.6,59968,110.06,2,1,1,2, 中 25, 塔楼,2000, 精装, 钢混,0.25,1,1,1, 海淀,77107
30714,1.11103E+12, 2016-10-12,47,4.16,36815,113,3,1,1,1, 高 28, 塔楼,2009, 简装, 钢混,0.25,1,0,0, 朝阳,46072
53836,1.11103E+12, 2016-03-11,1,3.5,42845,81.69,1,0,1,1, 中 10, 板楼,2003, 简装, 钢混,0.25,1,1,1, 朝阳,60578
59399,1.11103E+12, 2016-01-19,1,4.04,37846,106.75,2,2,1,1, 低 24, 塔楼,2005, 其他, 钢混,0.375,1,1,0, 丰台,64575
50694,1.11103E+12, 2016-01-03,1,2.88,23863,120.69,3,2,1,1, 高 15, 板塔结合,2005, 简装, 钢混,0.5,1,1,0, 朝阳,45447
1722,1.11105E+12, 2016-10-24,231,14,75676,185,4,2,1,3, 中 18, 板楼,2014, 精装, 钢混,1,1,0,0, 朝阳,82571
22428,1.11103E+12, 2016-09-10,46,5.42,69257,78.26,1,1,1,1, 低 26, 塔楼,2001, 精装, 钢混,0.667,1,0,1, 朝阳,77070
12450,1.11103E+12, 2016-06-25,11,5.45,82514,66.05,2,1,1,1, 低 14, 板塔结合,2004, 简装, 钢混,0.059,1,1,1, 西城,91507
13395,1.11105E+12, 2016-08-23,68,4.7,60026,78.3,2,1,1,1, 顶 9, 板楼,2013, 其他, 钢混,0.182,1,0,1, 朝阳,80006
21691,1.11103E+12, 2016-07-31,8,3.16,42924,73.62,1,2,1,1, 高 18, 板塔结合,2005, 精装, 钢混,0.5,1,1,0, 丰台,52046
56491,1.11103E+12, 2016-05-29,1,5.08,42816,118.65,2,2,1,1, 高 9, 板塔结合,2006, 精装, 钢混,0.118,1,1,1, 朝阳,58955
13984,1.11103E+12, 2016-07-27,38,12.3,58292,211.01,4,2,1,2, 高 16, 塔楼,2002, 精装, 钢混,0.333,1,0,1, 海淀,83166
1614,1.11103E+12, 2016-07-30,147,13.8,55871,247,3,2,1,3, 底 18, 板楼,2008, 精装, 钢混,0.5,0,0,0, 朝阳,86411
51970,1.11103E+12, 2016-01-31,1,4.5,34771,129.42,3,2,1,2, 中 27, 板楼,2004, 简装, 钢混,0.333,1,1,1, 朝阳,64395
423,1.11103E+12, 2016-08-05,278,3.298,55899,59,1,1,1,1, 高 12, 板楼,2010, 简装, 钢混,0.25,1,1,1, 丰台,66712
29457,1.11103E+12, 2016-09-05,15,3.05,49481,61.64,1,2,1,1, 中 28, 板塔结合,2009, 精装, 钢混,0.5,1,0,0, 朝阳,54106
19502,1.11103E+12, 2016-09-14,63,5,98678,50.67,1,1,1,1, 中 6, 板楼,2003, 精装, 钢混,0.25,0,0,1, 东城,104241
51288,1.11103E+12, 2016-01-09,1,6.36,43646,145.72,3,2,1,2, 中 26, 塔楼,2003, 精装, 钢混,0.333,1,1,1, 朝阳,65810
51512,1.11103E+12, 2016-02-28,1,2.19,37309,58.7,1,1,1,1, 低 32, 塔楼,2008, 精装, 钢混,0.444,1,1,1, 朝阳,62595
3138,1.11103E+12, 2016-07-16,112,1.03,27278,37.76,1,1,1,1, 中 20, 塔楼,2011, 精装, 钢混,0.222,1,0,1, 朝阳,44711
43566,1.11103E+12, 2016-12-24,55,7.45,70164,106.18,2,2,1,1, 高 25, 板塔结合,2005, 精装, 钢混,0.5,1,1,1, 石景山,64222
15519,1.11103E+12, 2016-08-24,59,7.76,59799,129.77,3,2,1,2, 中 16, 板楼,2007, 简装, 钢混,0.667,1,0,1, 朝阳,73126
25960,1.11103E+12, 2016-10-27,81,13,96147,135.21,3,2,1,2, 顶 6, 板楼,2000, 精装, 砖混,0.5,0,0,1, 海淀,112605
18358,1.11103E+12, 2016-08-25,48,2.698,44662,60.41,1,0,1,1, 低 13, 板楼,2004, 精装, 钢混,0.667,1,0,0, 丰台,59419
35182,1.11103E+12, 2016-12-20,100,11.4,91936,124,3,1,1,1, 中 6, 板楼,2005, 简装, 砖混,0.5,0,0,0, 西城,96342
29642,1.11103E+12, 2016-08-29,7,3.56,40359,88.21,2,1,1,1, 中 18, 板塔结合,2002, 简装, 钢混,0.5,1,1,0, 石景山,46335
54593,1.11103E+12, 2016-03-20,1,6.58,46199,142.43,2,2,1,2, 中 10, 板楼,2005, 简装, 钢混,0.5,1,1,1, 朝阳,78682
15159,1.11103E+12, 2016-07-29,34,8.23,59316,138.75,3,2,1,2, 高 20, 板塔结合,2007, 精装, 钢混,0.667,1,1,1, 朝阳,68319
60182,1.11103E+12, 2016-03-07,1,3.11,38764,80.23,2,1,1,1, 低 6, 板楼,2001, 精装, 混合,0.5,0,1,1, 丰台,53098
34536,1.11103E+12, 2016-09-22,13,6.18,42116,146.74,3,2,1,2, 中 16, 塔楼,2005, 简装, 钢混,0.333,1,0,1, 丰台,50554
5642,1.11103E+12, 2016-08-29,127,6.5,53755,120.92,3,1,1,2, 低 24, 塔楼,2001, 简装, 钢混,0.25,1,1,1, 朝阳,65595
40678,1.11103E+12, 2016-11-19,41,5.93,85202,69.6,2,1,1,1, 中 16, 板塔结合,2003, 精装, 钢混,0.333,1,1,1, 西城,91507
7806,1.11103E+12, 2016-06-24,39,5.6,42749,131,3,1,1,2, 低 18, 板楼,2009, 简装, 钢混,0.667,1,0,1, 朝阳,51255
19618,1.11103E+12, 2016-08-18,36,6.07,128385,47.28,1,0,1,1, 中 14, 板楼,2004, 其他, 钢混,0.25,1,0,0, 海淀,130831
20158,1.11103E+12, 2016-08-18,33,2.47,47409,52.1,1,0,1,1, 低 9, 板楼,2008, 简装, 钢混,0.167,1,1,1, 朝阳,58955
40597,1.11103E+12, 2016-12-06,59,7.01,64324,108.98,2,1,1,1, 中 29, 塔楼,2000, 精装, 钢混,0.375,1,1,1, 朝阳,58126
46781,1.11103E+12, 2016-12-06,3,4.9,55600,88.13,2,1,1,1, 中 11, 板塔结合,2008, 其他, 钢混,0.5,1,0,0, 朝阳,46072
61495,1.11103E+12, 2016-04-21,1,0.96,29430,32.62,1,0,1,1, 高 10, 塔楼,2012, 其他, 钢混,0.2,1,0,0, 海淀,56762
55355,1.11104E+12, 2016-03-21,1,1.81,42649,42.44,2,2,1,2, 低 11, 塔楼,2011, 精装, 钢混,0.125,1,0,0, 朝阳,46506
51234,1.11103E+12, 2016-02-21,1,3.9,45323,86.05,2,2,1,1, 顶 28, 板楼,2012, 精装, 钢混,0.5,1,0,0, 朝阳,68428
2428,1.11103E+12, 2016-08-01,136,5.65,55941,101,2,1,1,1, 低 24, 板塔结合,2008, 精装, 钢混,0.4,1,1,0, 石景山,64222
25616,1.11103E+12, 2016-08-11,5,7.6,104871,72.47,2,1,1,1, 高 11, 板塔结合,2003, 其他, 混合,0.25,1,0,1, 东城,123223
19521,1.11103E+12, 2016-07-16,3,4.48,31918,140.36,3,1,1,2, 中 16, 板楼,2007, 精装, 钢混,0.5,1,0,0, 朝阳,45177
36627,1.11103E+12, 2016-09-26,8,3.97,40297,98.52,2,1,1,1, 低 12, 板塔结合,2005, 简装, 钢混,0.222,1,0,0, 朝阳,48420
60778,1.11103E+12, 2016-04-30,1,2.13,34635,61.5,2,1,1,1, 中 24, 塔楼,2000, 简装, 钢混,0.2,1,1,1, 丰台,51836
46416,1.11103E+12, 2016-12-11,13,9.45,62583,151,4,2,1,2, 高 10, 板塔结合,2009, 精装, 钢混,0.5,1,0,0, 朝阳,63949
7827,1.11103E+12, 2016-09-30,137,6.65,45964,144.68,3,2,1,2, 中 5, 板楼,2001, 简装, 混合,0.5,0,1,0, 海淀,67509
54192,1.11103E+12, 2016-03-17,1,3.025,27976,108.13,2,2,1,1, 高 6, 板楼,2004, 精装, 钢混,0.333,0,1,0, 朝阳,46072
59740,1.11103E+12, 2016-01-30,1,1.95,36696,53.14,1,1,1,1, 中 24, 塔楼,2000, 其他, 混合,0.2,1,1,0, 丰台,55113
51521,1.11103E+12, 2016-01-31,1,3.3,26532,124.38,3,1,1,2, 中 6, 板楼,2002, 精装, 钢混,0.5,0,1,1, 朝阳,45307
27248,1.11103E+12, 2016-09-16,34,10.35,52772,196.13,4,2,1,2, 高 18, 板楼,2003, 精装, 钢混,1,1,0,1, 朝阳,61947
14563,1.11103E+12, 2016-07-18,27,13,75267,172.72,3,2,1,2, 低 27, 板塔结合,2005, 精装, 钢混,0.667,1,1,0, 朝阳,91231
55686,1.11103E+12, 2016-04-30,1,4.25,40388,105.23,2,1,1,2, 高 26, 塔楼,2004, 精装, 钢混,0.3,1,1,0, 朝阳,52306
44685,1.11105E+12, 2016-12-11,31,3.7,41648,88.84,2,2,1,1, 中 16, 板塔结合,2012, 简装, 钢混,0.222,1,0,0, 丰台,38851
38207,1.11103E+12, 2016-09-30,5,4.22,76091,55.46,1,0,1,1, 高 28, 塔楼,2004, 简装, 钢混,0.25,1,0,1, 西城,80976
34970,1.11105E+12, 2016-09-18,7,9.33,84055,111,4,1,1,2, 顶 5, 板楼,2012, 简装, 钢混,0.5,1,1,1, 海淀,75604
52789,1.11103E+12, 2016-03-12,1,6.9,67874,101.66,2,2,1,1, 高 24, 塔楼,2007, 精装, 钢混,0.25,1,1,1, 朝阳,85308
13441,1.11103E+12, 2016-07-11,24,2.05,40538,50.57,1,0,1,1, 顶 14, 板楼,2004, 简装, 钢混,0.5,1,1,1, 朝阳,50133
50911,1.11103E+12, 2016-02-24,1,2.78,34982,79.47,1,2,1,1, 中 23, 板塔结合,2005, 精装, 钢混,0.333,1,1,1, 朝阳,59536
63579,1.11103E+12, 2016-03-18,1,4.03,29711,135.64,3,1,1,1, 底 24, 塔楼,2003, 简装, 钢混,0.375,1,1,1, 石景山,42945
29402,1.11103E+12, 2016-09-20,31,19.7,106764,184.52,3,2,1,2, 高 11, 板楼,2002, 精装, 钢混,0.5,1,1,1, 海淀,127430
29045,1.11103E+12, 2016-12-22,124,5.75,71050,80.93,2,1,1,1, 中 7, 板楼,2001, 简装, 混合,0.5,0,1,0, 朝阳,67053
1184,1.11103E+12, 2016-07-13,142,3.2,44906,71.26,2,1,1,1, 中 14, 板塔结合,2000, 精装, 钢混,0.25,0,0,0, 朝阳,51714
6304,1.11103E+12, 2016-08-30,120,4.8,54858,87.5,3,1,1,1, 底 21, 板楼,2002, 简装, 钢混,0.5,0,1,1, 朝阳,64560
31465,1.11103E+12, 2016-09-27,29,4.67,50739,92.04,2,1,1,1, 高 24, 塔楼,2006, 精装, 钢混,0.3,1,0,1, 丰台,50960
18246,1.11103E+12, 2016-07-29,21,4.595,48811,94.14,3,2,1,1, 顶 25, 塔楼,2000, 简装, 钢混,0.2,1,1,1, 丰台,65374
59532,1.11103E+12, 2016-02-28,1,3.2,40202,79.6,2,1,1,1, 高 15, 板楼,2003, 简装, 钢混,2,1,1,1, 丰台,58737
44128,1.11103E+12, 2016-12-11,36,5.8,62494,92.81,2,1,1,1, 中 15, 板楼,2005, 精装, 钢混,0.5,1,1,0, 石景山,63657
59517,1.11103E+12, 2016-03-07,1,1.73,26461,65.38,1,1,1,1, 顶 6, 板楼,2002, 简装, 混合,0.5,0,0,0, 丰台,41148
62466,1.11103E+12, 2016-03-20,1,3.5,52640,66.49,2,1,1,1, 高 6, 板楼,2002, 精装, 混合,0.333,0,1,1, 海淀,60688
17991,1.11103E+12, 2016-07-13,7,2.45,25959,94.38,2,1,1,1, 中 22, 塔楼,2003, 其他, 混合,0.25,1,1,0, 丰台,39408
4622,1.11103E+12, 2016-07-19,97,5.45,72435,75.24,1,1,1,1, 中 21, 塔楼,2008, 精装, 钢混,0.25,1,1,0, 朝阳,89347
2326,1.11103E+12, 2016-10-12,210,15.235,79999,190.44,3,2,1,2, 底 32, 板楼,2010, 精装, 钢混,0.333,0,0,0, 朝阳,86411
28952,1.11103E+12, 2016-09-03,15,4.1,65308,62.78,1,1,1,1, 低 19, 塔楼,2004, 精装, 钢混,0.125,1,1,1, 东城,79511
54670,1.11103E+12, 2016-04-09,1,4.9,53930,90.86,2,1,1,1, 低 9, 板楼,2005, 精装, 钢混,0.333,1,1,0, 朝阳,73113
51229,1.11103E+12, 2016-01-07,1,5.21,34741,149.97,3,2,1,1, 高 23, 塔楼,2005, 精装, 钢混,0.375,1,1,1, 朝阳,59536
59748,1.11103E+12, 2016-01-13,1,2.8,30422,92.04,2,1,1,1, 高 24, 塔楼,2006, 简装, 钢混,0.3,1,1,1, 丰台,50960
19114,1.11103E+12, 2016-08-04,24,5.75,116799,49.23,2,1,1,1, 底 22, 塔楼,2006, 精装, 钢混,0.333,1,0,1, 海淀,104613
16753,1.11103E+12, 2016-09-23,84,13.4,96961,138.2,3,2,1,2, 底 9, 板楼,2012, 毛坯, 钢混,0.333,1,0,0, 朝阳,84680
38825,1.11103E+12, 2016-11-21,54,1.62,43844,36.95,1,0,1,1, 高 20, 板塔结合,2011, 简装, 钢混,0.25,1,0,1, 朝阳,52870
46368,1.11103E+12, 2016-12-15,17,7.15,109747,65.15,1,1,1,1, 低 28, 板楼,2010, 精装, 钢混,0.667,1,0,1, 朝阳,102606
55610,1.11103E+12, 2016-05-10,1,4.7,45592,103.09,2,1,1,1, 高 25, 板塔结合,2008, 精装, 钢混,0.3,1,1,1, 朝阳,60785
42252,1.11103E+12, 2016-11-19,31,8.7,112549,77.3,2,1,1,1, 高 18, 板塔结合,2009, 简装, 钢混,0.5,1,0,1, 海淀,106969
26393,1.11103E+12, 2016-10-10,62,3.65,57148,63.87,1,1,1,1, 中 11, 板楼,2002, 精装, 钢混,0.25,1,0,1, 朝阳,61359
25009,1.11103E+12, 2016-09-23,50,7.4,65147,113.59,2,2,1,2, 高 26, 板塔结合,2006, 精装, 钢混,0.333,1,1,1, 石景山,64222
23274,1.11105E+12, 2016-09-29,62,6.32,77651,81.39,2,1,1,1, 中 6, 板楼,2004, 简装, 混合,0.5,0,0,1, 海淀,76826
8497,1.11103E+12, 2016-08-10,80,6.79,69054,98.33,2,2,1,1, 低 29, 板塔结合,2008, 精装, 钢混,0.667,1,1,1, 朝阳,74926
2996,1.11103E+12, 2016-07-14,111,2.32,49362,47,1,0,1,1, 中 19, 塔楼,2009, 简装, 钢混,0.667,1,1,1, 丰台,66712
61165,1.11103E+12, 2016-01-27,1,6.28,39024,160.93,3,2,1,2, 中 5, 板楼,2004, 精装, 混合,0.5,0,1,0, 海淀,67509
56924,1.11103E+12, 2016-06-11,1,2.68,39953,67.08,1,2,1,1, 高 28, 板塔结合,2009, 精装, 钢混,0.5,1,0,1, 朝阳,54263
45836,1.11103E+12, 2016-11-26,4,9.28,64449,143.99,3,1,1,2, 中 22, 塔楼,2003, 精装, 钢混,0.333,1,1,1, 朝阳,68844
23579,1.11103E+12, 2016-08-10,11,4.8,41051,116.93,3,1,1,1, 高 18, 板塔结合,2005, 精装, 钢混,0.333,1,0,0, 石景山,50041
