,community_id,trade_time,days_on_market,total_price,unit_price,area_sqm,n_bed_room,n_living_room,n_kitchen,n_bathroom,building,building_type,construction_time,renovation_condition,building_structure,ladder_ratio,elevator,property_rights_for_five_years,subway,district,community_average
30539,1.11103E+12, 2016-09-23,28,5.8,65537,88.5,2,2,1,1, 底 5, 板楼,2000, 精装, 混合,0.5,0,0,0, 海淀,65567
33732,1.11106E+12, 2016-09-15,9,5.88,106910,55,1,1,0,2, 低 10, 板楼,2016, 其他, 钢混,0.13,1,0,1, 海淀,111846
56114,1.11103E+12, 2016-04-13,1,2.68,45978,58.29,1,1,0,1, 中 23, 板楼,2008, 其他, 钢混,0.5,1,0,0, 朝阳,72148
23231,1.11103E+12, 2016-08-05,7,2.25,55269,40.71,1,0,1,1, 低 24, 塔楼,2008, 其他, 钢混,0.286,1,0,0, 朝阳,57709
41580,1.11103E+12, 2016-10-31,17,6.8,63221,107.56,2,2,1,1, 中 19, 板塔结合,2004, 精装, 钢混,0.5,1,1,1, 朝阳,70685
24695,1.11103E+12, 2016-08-15,11,5.7,51994,109.63,3,1,1,1, 中 10, 塔楼,2000, 简装, 钢混,0.25,1,1,0, 海淀,65567
47378,1.11103E+12, 2016-12-13,4,5.72,63471,90.12,2,2,1,2, 中 8, 板塔结合,2007, 简装, 钢混,0.2,1,1,1, 朝阳,62702
18954,1.11103E+12, 2016-07-21,11,5.12,67307,76.07,2,1,1,1, 低 22, 塔楼,2003, 精装, 钢混,0.25,1,1,0, 海淀,76934
55556,1.11103E+12, 2016-05-14,1,3.35,39095,85.69,2,1,1,1, 未知 6, 板楼,2006, 精装, 钢混,0.5,0,1,0, 朝阳,45447
28136,1.11103E+12, 2016-08-25,10,10.5,89890,116.81,4,2,1,2, 顶 6, 板楼,2003, 其他, 混合,0.5,0,0,1, 东城,114157
15261,1.11105E+12, 2016-07-15,20,2.13,30429,70,2,1,1,1, 低 28, 板楼,2015, 简装, 钢混,0.5,1,0,0, 丰台,44275
60502,1.11103E+12, 2016-03-22,1,5.36,40359,132.81,4,1,1,1, 高 18, 板楼,2003, 精装, 钢混,2,1,1,1, 丰台,58737
47289,1.11103E+12, 2016-12-24,16,6.245,67965,91.88,2,1,1,1, 高 9, 板楼,2008, 精装, 钢混,0.167,1,1,1, 朝阳,58955
11502,1.11103E+12, 2016-07-19,40,4.02,54325,74,2,1,1,1, 中 19, 板塔结合,2003, 精装, 钢混,0.25,1,1,0, 海淀,60611
59370,1.11103E+12, 2016-01-11,1,2.385,33792,70.58,2,1,1,1, 高 24, 塔楼,2000, 简装, 钢混,0.2,1,1,1, 丰台,48935
57634,1.11103E+12, 2016-06-07,1,4.15,87461,47.45,1,0,1,1, 顶 10, 塔楼,2003, 精装, 钢混,0.192,1,1,1, 东城,80941
12281,1.11103E+12, 2016-07-24,42,8.8,51765,170,3,2,1,2, 中 26, 塔楼,2000, 简装, 钢混,0.286,1,1,1, 朝阳,58438
19878,1.11105E+12, 2016-07-18,3,3.55,38625,91.91,3,1,1,1, 中 34, 板塔结合,2015, 毛坯, 钢混,0.25,0,0,0, 丰台,44275
51388,1.11103E+12, 2016-03-01,1,2.45,36920,66.36,1,2,1,1, 低 25, 塔楼,2008, 精装, 钢混,0.5,1,0,0, 朝阳,62702
